,gene_1,gene_2,HG_pval,rank
3225,RFXAP,SNAI2_negation,1.2954728727227937e-17,110
401,ATF4,NPM1,1.3362723496189433e-17,111
62,ABL1,EGR1_negation,1.7276899801254033e-17,112
4049,EGR1_negation,PARP1_negation,1.8085540274526554e-17,113
4044,EGR1_negation,MEF2A_negation,2.91570698103135e-17,114
2580,NPM1,FOSL2_negation,3.455268422859937e-17,115
3966,CTNNB1_negation,EGR1_negation,4.311321567547186e-17,116
427,ATF4,CEBPA_negation,5.1892683469695196e-17,117
1519,HBP1,CEBPA_negation,5.1892683469695196e-17,118
3308,SP2,FOSL2_negation,5.1892683469695196e-17,119
3884,CEBPA_negation,RUNX1_negation,5.1892683469695196e-17,120
3301,SP2,DDIT3_negation,5.1892683469695196e-17,121
1463,GATA2,NR3C1_negation,6.963140989346208e-17,122
2557,NPM1,SPI1,7.254942162465062e-17,123
449,ATF4,NR3C1_negation,7.431471408805368e-17,124
432,ATF4,EGR1_negation,9.183700586508057e-17,125
2911,PPARD,RFXAP,1.0726161273416006e-16,126
1493,HBP1,NPM1,1.5156365274338304e-16,127
3218,RFXAP,NR3C1_negation,2.538487699311659e-16,128
3863,CEBPA_negation,ESR1_negation,2.918200317471033e-16,129
2558,NPM1,SRF,2.918200317471033e-16,130
3889,CEBPA_negation,STAT1_negation,2.918200317471033e-16,131
3164,RFX5,NFIC_negation,5.61055658484406e-16,132
2910,PPARD,RFX5,5.61055658484406e-16,133
2564,NPM1,ZNF148,5.855008054043599e-16,134
3492,TFAP2A,EGR1_negation,7.486499157768605e-16,135
2547,NPM1,POU2F2,7.54344479032675e-16,136
2579,NPM1,FOSB_negation,7.789208666312115e-16,137
3143,RFX5,CDX2_negation,1.1235333120733317e-15,138
1425,GATA2,RFX5,1.5651917371271027e-15,139
4053,EGR1_negation,RB1_negation,1.5651917371271027e-15,140
2316,MITF,EGR1_negation,1.5651917371271027e-15,141
2447,NCOA6,EGR1_negation,1.5651917371271027e-15,142
628,CEBPE,NR3C1_negation,1.5651917371271027e-15,143
3135,RFX5,TFAP2A,1.5651917371271027e-15,144
2511,NFYB,EGR1_negation,1.5651917371271027e-15,145
4042,EGR1_negation,HMGN1_negation,1.5651917371271027e-15,146
156,AHR,EGR1_negation,1.5651917371271027e-15,147
3868,CEBPA_negation,GATA1_negation,1.6253697117089304e-15,148
3327,SP2,SP3_negation,1.6253697117089304e-15,149
2262,MEF2D,MEF2A_negation,1.6253697117089304e-15,150
1349,GATA1,SP2,1.6253697117089304e-15,151
411,ATF4,RFX5,2.0581703055818354e-15,152
590,CEBPE,RFX5,2.0962082720928725e-15,153
699,DACH1,EGR1_negation,2.5218505475622084e-15,154
2550,NPM1,RBMX,3.025147630699517e-15,155
41,ABL1,RFX5,3.55143670733921e-15,156
412,ATF4,RFXAP,4.3690266257236195e-15,157
3229,RFXAP,STAT1_negation,7.22228308623096e-15,158
2795,POU2F2,RFX5,7.22228308623096e-15,159
249,ARNT,EGR1_negation,7.22228308623096e-15,160
2264,MEF2D,NFIC_negation,8.967557030112286e-15,161
3292,SP2,ZNF148,8.967557030112286e-15,162
1036,ERG,CEBPA_negation,8.967557030112286e-15,163
3860,CEBPA_negation,DDIT3_negation,8.967557030112286e-15,164
3286,SP2,SRF,8.967557030112286e-15,165
2258,MEF2D,HDAC3_negation,8.967557030112286e-15,166
4524,SNAI2_negation,SP3_negation,8.967557030112286e-15,167
2573,NPM1,DDIT3_negation,8.967557030112286e-15,168
3999,DDIT3_negation,EGR1_negation,1.0753054810520086e-14,169
3177,RFX5,STAT1_negation,1.0753054810520086e-14,170
4415,NFIC_negation,SNAI2_negation,1.2679019992099649e-14,171
2948,PPARD,NR3C1_negation,1.896295777064797e-14,172
564,CEBPE,GATA2,2.1150769697367045e-14,173
4056,EGR1_negation,SP3_negation,2.962991299086586e-14,174
1240,FOS,GATA2,4.100188847756186e-14,175
562,CEBPE,FOS,4.100188847756186e-14,176
3309,SP2,GATA1_negation,4.901585149413371e-14,177
1023,ERG,SP2,4.901585149413371e-14,178
3866,CEBPA_negation,FOSB_negation,4.901585149413371e-14,179
26,ABL1,MEF2D,4.901585149413371e-14,180
3303,SP2,ELK1_negation,4.901585149413371e-14,181
2563,NPM1,ZNF143,5.5454990441785404e-14,182
4040,EGR1_negation,HDAC3_negation,5.708650860953693e-14,183
3178,RFX5,STAT6_negation,5.815913550199425e-14,184
2917,PPARD,TFAP2A,6.045157158825919e-14,185
1266,FOS,RFX5,7.219106652356133e-14,186
584,CEBPE,POU2F2,7.266318862828901e-14,187
2987,RBMX,EGR1_negation,7.558768867425949e-14,188
1795,HOPX,NPM1,7.74138360150223e-14,189
4038,EGR1_negation,GATA1_negation,8.973548660200539e-14,190
4217,FOSL2_negation,NFIC_negation,8.973548660200539e-14,191
375,ATF4,CEBPE,9.131342817671574e-14,192
1419,GATA2,POU2F2,1.2356983056436704e-13,193
3824,CDX2_negation,EGR1_negation,1.267798991545835e-13,194
