gene_1,mHG_stat,mHG_pval,mHG_cutoff,cutoff_val,t_stat,t_pval,w_stat,w_pval,Log2FoldChange,Log2FoldChangeAbs,TP,TN,q_value
ABL1,0.0004694292365202802,0.0038921044067890785,0,0.876,0.16629448040258799,0.8681199763582836,0.1263648047213127,0.8994431605473512,0.004362433744310657,0.004362433744310657,0.0,1.0,0.026132701017012386
ABL1_negation,0.10029687811217608,0.30634433939113187,13,-0.624,-0.16629448040258799,0.8681199763582836,-0.1263648047213127,0.8994431605473512,0.00436244569004566,0.00436244569004566,0.009259259259259259,0.9693877551020408,0.5352413613852671
AHR,0.9730082811753938,0.9970893418305081,149,0.626,-3.9845954337480887,9.585421744588608e-05,-3.5058711595597525,0.0004551154662338174,-0.18312033454690854,0.18312033454690854,0.12962962962962962,0.6556122448979592,1.0
AHR_negation,0.12994067020668615,0.36351481907065974,0,-0.374,3.9845954337480887,9.585421744588608e-05,3.5058711595597525,0.0004551154662338174,-0.1831210387497721,0.1831210387497721,0.0,1.0,0.5882080063012303
AR,0.07407477719069752,0.24679382299915642,72,0.376,-0.01302820122014316,0.9896208580827182,-0.2820642962529301,0.7778942095688335,-0.0010149070181242736,0.0010149070181242736,0.1388888888888889,0.8545918367346939,0.5352413613852671
ARNT,0.06107008511655466,0.21625658270397705,0,0.751,-3.027612960945794,0.002877250833840497,-3.0094379981545956,0.0026173149374431213,-0.12086396985981687,0.12086396985981687,0.0,1.0,0.4863186309610967
ARNT_negation,5.15371565702808e-07,7.369218040223879e-06,92,-0.499,3.027612960945794,0.002877250833840497,3.0094379981545956,0.0026173149374431213,-0.12086439612378728,0.12086439612378728,0.28703703703703703,0.8443877551020408,0.00014431385328771764
AR_negation,0.10436810910928895,0.31477943970545313,16,-0.124,0.01302820122014316,0.9896208580827182,0.2820642962529301,0.7778942095688335,-0.0010149137351679995,0.0010149137351679995,0.018518518518518517,0.9642857142857143,0.5352413613852671
ASH1L,0.9999999728600102,0.9999999982977011,169,0.251,-10.127617980339926,7.881488095164572e-22,-5.273474082744781,1.3386516595342458e-07,-0.4670919752059136,0.4670919752059136,0.09259259259259259,0.5943877551020408,1.0
ASH1L_negation,3.8780129560416134e-07,5.6162240118037e-06,0,-0.249,10.127617980339926,7.881488095164572e-22,5.273474082744781,1.3386516595342458e-07,-0.4670949600810561,0.4670949600810561,0.0,1.0,0.00011998296752489724
ATF1,0.02804406392609914,0.12001331894945609,0,0.751,1.611945659815347,0.10851519532328198,0.9409664922997748,0.3467220308212664,0.027816416734376258,0.027816416734376258,0.0,1.0,0.32232148517853926
ATF1_negation,0.3247920850430241,0.6391989174512572,65,-0.749,-1.611945659815347,0.10851519532328198,-0.9409664922997748,0.3467220308212664,0.02781649377122256,0.02781649377122256,0.08333333333333333,0.8571428571428571,0.8835985035355614
ATF2,0.010696936690855426,0.056062589489559514,0,0.751,0.8588534839754944,0.391698578013266,0.8743993183840834,0.38190082846464124,0.023433529672580566,0.023433529672580566,0.0,1.0,0.18821012185780694
ATF2_negation,0.28458223680895284,0.5936820350020361,165,-0.624,-0.8588534839754944,0.391698578013266,-0.8743993183840834,0.38190082846464124,0.023433609251254223,0.023433609251254223,0.3148148148148148,0.6658163265306123,0.8429926176766072
ATF4,0.9781611736909827,0.9977643885827654,107,0.376,-3.485251563960739,0.0005982536984127716,-2.673217357021103,0.007512755529019828,-0.1679603071959214,0.1679603071959214,0.12962962962962962,0.7627551020408163,1.0
ATF4_negation,0.015645544364261185,0.07682415512301435,0,-0.249,3.485251563960739,0.0005982536984127716,2.673217357021103,0.007512755529019828,-0.16796132193074403,0.16796132193074403,0.0,1.0,0.22998313954023406
ATF5,0.7601233685465874,0.9398487305120974,121,0.126,-3.295985774012567,0.001137603190579284,-2.126764793747093,0.03343963088271901,-0.1990700720423914,0.1990700720423914,0.1388888888888889,0.7295918367346939,1.0
ATF5_negation,1.702833643281504e-05,0.00019217310036992596,0,-0.124,3.295985774012567,0.001137603190579284,2.126764793747093,0.03343963088271901,-0.19907262217762572,0.19907262217762572,0.0,1.0,0.0022802834094892803
ATF6,0.702849577360287,0.915165924893861,113,0.376,-1.1517650809000228,0.25026267792675394,-1.3591738222107859,0.17409151441370108,-0.02318339895634954,0.02318339895634954,0.12037037037037036,0.7448979591836735,1.0
ATF6_negation,0.007771675068239942,0.04357715324149264,22,-0.374,1.1517650809000228,0.25026267792675394,1.3591738222107859,0.17409151441370108,-0.02318351688172436,0.02318351688172436,0.0,0.9438775510204082,0.16000985955860578
ATM,0.4255111099347457,0.737589203486299,35,0.501,-0.7340634501819961,0.4638676834889738,-0.5137331049086701,0.6074386032822588,-0.014646745551920914,0.014646745551920914,0.046296296296296294,0.923469387755102,0.9656460324193887
ATM_negation,0.035887428207220365,0.1469553986067397,0,-0.374,0.7340634501819961,0.4638676834889738,0.5137331049086701,0.6074386032822588,-0.014646806377008286,0.014646806377008286,0.0,1.0,0.3654446420379241
BACH2,0.3420935126317861,0.6617406753240019,25,0.251,-5.160898893041434,3.9183203802296197e-07,-1.0154314665105484,0.3099001998462836,-0.04528586998481155,0.04528586998481155,0.0,0.9362244897959183,0.9066572704980489
BACH2_negation,0.018888902490278265,0.08981425878113837,0,-0.249,5.160898893041434,3.9183203802296197e-07,1.0154314665105484,0.3099001998462836,-0.04528622664613203,0.04528622664613203,0.0,1.0,0.26057223226626564
BCL6,0.5053653474546186,0.8002349076451158,118,0.501,-3.2729852475081183,0.001211345152673746,-1.8966003280047021,0.057880707279474,-0.08670627892541587,0.08670627892541587,0.12037037037037036,0.7321428571428571,1.0
BCL6_negation,0.0010542740604459393,0.007865702305239131,101,-0.499,3.2729852475081183,0.001211345152673746,1.8966003280047021,0.057880707279474,-0.08670662027570983,0.08670662027570983,0.19444444444444445,0.7959183673469388,0.047395898505928104
BRCA1,0.005665997257639228,0.033483433082392225,3,0.626,-0.020350574332333594,0.9837906112641914,-0.26551652420609156,0.7906115820675421,-0.0012012418748403994,0.0012012418748403994,0.009259259259259259,0.9948979591836735,0.13398377532450423
BRCA1_negation,0.00017257821303485357,0.0016034678515796637,26,-0.249,0.020350574332333594,0.9837906112641914,0.26551652420609156,0.7906115820675421,-0.001201247924074314,0.001201247924074314,0.05555555555555555,0.9489795918367347,0.013457676611472178
BRPF1,0.03323878268110757,0.1364906157559812,0,0.251,0.6364077010723296,0.525321202735129,0.38812047164403185,0.6979268829492048,0.01902085449834893,0.01902085449834893,0.0,1.0,0.3537084900605999
BRPF1_negation,0.3668359589165474,0.684373812840644,79,-0.249,-0.6364077010723296,0.525321202735129,-0.38812047164403185,0.6979268829492048,0.019021019104350268,0.019021019104350268,0.1388888888888889,0.8367346938775511,0.9216495473785177
CDX2,0.019948447704052817,0.09197114374717644,0,0.376,0.5586790524406253,0.5771447498749134,0.8029430300000077,0.422007663501921,0.031140473682929742,0.031140473682929742,0.0,1.0,0.2651928684734535
CDX2_negation,0.03038934862568815,0.1289028244485273,0,-0.124,-0.5586790524406253,0.5771447498749134,-0.8029430300000077,0.422007663501921,0.031140683705615423,0.031140683705615423,0.0,1.0,0.33845993011624487
CEBPA,0.12343062407012247,0.354472864591893,10,0.376,4.155118827330329,3.949257800065744e-05,1.2455959322529393,0.21291277642507256,0.10356511183630528,0.10356511183630528,0.0,0.9744897959183674,0.5825253369167471
CEBPA_negation,0.7551291117206762,0.9372763072753039,89,-0.374,-4.155118827330329,3.949257800065744e-05,-1.2455959322529393,0.21291277642507256,0.10356570651894947,0.10356570651894947,0.1111111111111111,0.8035714285714286,1.0
CEBPB,1.0,1.0,0,0.876,-16.4227384971035,6.899862884495881e-47,-9.614255559213207,6.96110557689696e-22,-0.7975896811376461,0.7975896811376461,0.0,1.0,1.0
CEBPB_negation,4.641884462240005e-22,1.1594518805235871e-20,0,-0.249,16.4227384971035,6.899862884495881e-47,9.614255559213207,6.96110557689696e-22,-0.7975942251110394,0.7975942251110394,0.0,1.0,5.449423838460859e-19
