gene_1,mHG_stat,mHG_pval,mHG_cutoff,cutoff_val,t_stat,t_pval,w_stat,w_pval,Log2FoldChange,Log2FoldChangeAbs,TP,TN,q_value,hgrank,fcrank,rank,Plot
RFX5,1.7309299990032962e-23,3.923485750640494e-22,85,0.376,12.269684034543822,4.785850795692712e-25,9.88112011541899,5.0267837245561544e-23,0.437168078522905,0.437168078522905,0.5233644859813084,0.926208651399491,3.073397171335054e-20,3,3,1,1.0
SP2,2.4492958968352576e-50,5.642162321538506e-49,62,0.251,12.08488495784897,1.1662986696497725e-21,9.194705851911365,3.7602195952954415e-20,0.36705617404695057,0.36705617404695057,0.5794392523364486,1.0,2.651816291123098e-46,1,6,2,1.0
CEBPE,1.6272017893578788e-14,3.591349206451056e-13,115,0.126,6.728756135125847,5.624868655517285e-10,6.059992665018657,1.3612775614127047e-09,0.48499540381986234,0.48499540381986234,0.5233644859813084,0.8498727735368957,1.2984108669476895e-11,6,2,3,1.0
PPARD,5.280164898937406e-18,1.2040977367577986e-16,119,0.376,8.754181253369522,5.424390161754399e-15,7.899613079861795,2.7977052295719194e-15,0.4370840414593523,0.4370840414593523,0.5607476635514018,0.8498727735368957,7.0740742034520666e-15,4,4,4,1.0
NPM1,3.813719462654376e-37,9.285116965105315e-36,84,0.251,11.801303387703847,1.2237602439301646e-21,9.061121107941217,1.2911655443174307e-19,0.35514861056903263,0.35514861056903263,0.616822429906542,0.9541984732824428,1.454668324533166e-33,2,7,5,1.0
ATF4,2.4750907079757503e-12,5.220260966579304e-11,107,0.376,7.0562908513640545,7.853847275545847e-11,6.4924449717694745,8.44543715451361e-11,0.39805285991811984,0.39805285991811984,0.4766355140186916,0.8575063613231552,1.6356817695281819e-09,8,5,6,1.0
FOS,9.377189283396268e-15,2.1042845634944733e-13,96,0.501,6.565286127096629,6.099122204922331e-10,6.229426422201133,4.681459557214384e-10,0.2620096422382019,0.2620096422382019,0.4672897196261682,0.8829516539440203,8.991034044021842e-12,5,10,7,1.0
RFXAP,4.493973611018078e-12,9.028172278708459e-11,204,0.251,5.747059217076315,5.832711871142837e-08,6.115841654023126,9.604866272045795e-10,0.319176531237457,0.319176531237457,0.7009345794392523,0.6717557251908397,2.65202560687061e-09,9,8,8,1.0
ELK4,3.696792249884234e-11,7.455143901127549e-10,52,0.376,5.246785048373835,5.337902089652152e-07,5.486031095587598,4.1106456867175123e-08,0.2782368973024293,0.2782368973024293,0.19626168224299065,0.9211195928753181,1.7519588167649742e-08,10,9,9,1.0
GATA2,7.491770093489431e-13,1.509501818266261e-11,137,0.251,3.5513328091169996,0.0005017645066861206,5.395842525506057,6.820274583264846e-08,0.21575571396032095,0.21575571396032095,0.5607476635514018,0.8040712468193384,5.067613247036733e-10,7,16,10,1.0
DACH1,9.262832188002644e-07,1.27234797422734e-05,161,0.376,4.802164522646053,3.318879723284522e-06,4.309806104189431,1.6339774542360435e-05,0.2135063381051575,0.2135063381051575,0.4392523364485981,0.7099236641221374,0.00015946241818536096,13,17,11,1.0
AHR,2.686597989932751e-05,0.00030104444003418605,149,0.626,5.715865463557904,4.515152576519787e-08,4.860748833557838,1.1694254823549924e-06,0.24800312096208474,0.24800312096208474,0.45794392523364486,0.7455470737913485,0.0027209785926166816,19,11,12,1.0
MITF,2.686597989932751e-05,0.00030104444003418605,149,0.376,5.408961288402096,2.10775697189681e-07,4.860748833557838,1.1694254823549924e-06,0.24084449315856782,0.24084449315856782,0.45794392523364486,0.7455470737913485,0.0027209785926166816,18,13,13,1.0
NFYB,2.686597989932751e-05,0.00030104444003418605,149,0.376,5.408961288402096,2.10775697189681e-07,4.860748833557838,1.1694254823549924e-06,0.24084449315856782,0.24084449315856782,0.45794392523364486,0.7455470737913485,0.0027209785926166816,20,12,14,1.0
TFAP2A,1.4783993173984698e-05,0.00016749179087138165,197,0.376,5.690904795822355,3.688883251002725e-08,4.710560336099875,2.4703664951070457e-06,0.2195384920315386,0.2195384920315386,0.5700934579439252,0.6539440203562341,0.0016749179087138164,17,15,15,1.0
ARNT,8.325823694201366e-07,1.1336415051600554e-05,155,0.626,5.6234899712205415,6.43206567474691e-08,4.7871640169641125,1.6915458914518952e-06,0.1797223338197351,0.1797223338197351,0.45794392523364486,0.7302798982188295,0.00015223185926435028,12,23,16,1.0
RFX1,0.20691257743496097,0.4901783727007507,126,0.126,5.815922757370824,2.2486556658558858e-08,5.0301825907403135,4.900129631289769e-07,0.6772403910903018,0.6772403910903018,0.2616822429906542,0.7506361323155216,1.0,34,1,17,1.0
CEBPB,0.0006251706164615585,0.00503720690608903,151,0.501,4.773417533003435,2.747298426787091e-06,4.305655165817478,1.664922395192138e-05,0.22452223887665906,0.22452223887665906,0.19626168224299065,0.6692111959287532,0.036658004171658556,22,14,18,1.0
DEK,1.6009743973896896e-06,2.0984853932476553e-05,55,0.626,4.129366936698081,5.9330950017782266e-05,3.841127426192472,0.00012247051438824008,0.18135405649802355,0.18135405649802355,0.16822429906542055,0.905852417302799,0.00022415639427872684,15,22,19,1.0
RBMX,0.001510704489202506,0.010719491566137563,179,0.626,4.0984409450581545,6.18620689004806e-05,3.923768835597733,8.717438641355953e-05,0.19479035433336683,0.19479035433336683,0.48598130841121495,0.6768447837150128,0.07409060347183316,23,20,20,1.0
ABL1,1.346022580195978e-06,1.8106858438681958e-05,195,0.751,4.190400284968568,4.49599253962994e-05,3.7260332258792093,0.0001945167749837409,0.10741507527826578,0.10741507527826578,0.5607476635514018,0.6564885496183206,0.00020262436824239333,14,29,21,1.0
SRF,7.965756221094712e-09,1.3383140437733193e-07,64,0.626,2.1187754186410097,0.03591642467325613,1.3856587001649237,0.16585114480331697,0.06450753483730848,0.06450753483730848,0.308411214953271,0.9211195928753181,2.246455716333786e-06,11,38,22,1.0
ATF2,0.007137481647756231,0.03978492561036065,55,0.626,5.398231042467562,1.8176897191197445e-07,4.266032572267011,1.989797422756474e-05,0.11853941750259825,0.11853941750259825,0.16822429906542055,0.905852417302799,0.24603835574828295,25,27,23,1.0
POU2F2,7.690776345438264e-06,9.142272537485588e-05,176,0.251,0.7744459607808041,0.43973873663065843,0.887546095530474,0.3747849604320991,0.056999929198669884,0.056999929198669884,0.5046728971962616,0.6895674300254453,0.0009341017592648319,16,39,24,1.0
KLF4,0.10380484570506074,0.3112991320962184,110,0.501,4.670116446927366,5.627897616591826e-06,4.532447344139678,5.830421270779776e-06,0.14705474157742338,0.14705474157742338,0.2523364485981308,0.7888040712468194,1.0,32,24,25,1.0
NCOA6,3.256162095341121e-05,0.0003458171962906283,149,0.501,3.82805641216817,0.00018804598777944637,3.2290526953462013,0.0012420100708380381,0.06740471595073817,0.06740471595073817,0.45794392523364486,0.7455470737913485,0.00300052343582115,21,36,26,1.0
DMAP1,0.635174425958253,0.879349719448898,101,0.001,-0.6267886210560533,0.5315650694238229,-0.31660339036992674,0.7515445628907662,-0.21053733845506128,0.21053733845506128,0.18691588785046728,0.7938931297709924,1.0,43,18,27,1.0
ZNF76,0.019299711501320642,0.08901232132167439,81,0.376,1.6841431478511941,0.0940835289317598,1.6230169034339152,0.10458579147472008,0.08296998938590232,0.08296998938590232,0.19626168224299065,0.8473282442748091,0.4980451312046067,26,35,28,1.0
ZNF148,0.05418431356912576,0.19803979882316228,120,0.501,2.868630008750191,0.004644952327489487,2.7396193254894734,0.0061510382035844515,0.09352329813752065,0.09352329813752065,0.29906542056074764,0.7760814249363868,0.9595742829575905,30,33,29,1.0
STAT3,0.3934775452729426,0.704125063028903,87,0.376,-2.1649281305355514,0.032015508609558305,-2.4203744288828486,0.015504533179623288,-0.14381969801555897,0.14381969801555897,0.18691588785046728,0.8295165394402035,1.0,40,25,30,1.0
ERG,0.21378507342039002,0.4992482239312099,164,0.626,1.9879580471737455,0.04821944895838783,1.74301675818676,0.08133068758871805,0.10634919786693059,0.10634919786693059,0.3644859813084112,0.6819338422391857,1.0,35,30,31,1.0
HOPX,0.031168367644371885,0.12866487305657773,107,0.251,1.7587661691859235,0.08060817511503146,1.3399983780734324,0.1802458722342034,0.05443890960993831,0.05443890960993831,0.2803738317757009,0.8040712468193384,0.6871873901885401,28,40,32,1.0
ETS1,0.3324823884666839,0.64305401424441,140,0.501,3.0860676614928466,0.002241196664943627,2.8354682660782236,0.0045758560833067796,0.1047138455061986,0.1047138455061986,0.29906542056074764,0.7251908396946565,1.0,38,32,33,1.0
GATA1,0.8672943652995437,0.9734287025737542,183,0.501,-4.401401844134443,2.191100634181715e-05,-3.503014627895149,0.0004600241996492641,-0.19416418951320494,0.19416418951320494,0.308411214953271,0.6183206106870229,1.0,50,21,34,1.0
ZNF143,0.02473882838427404,0.10712875198210853,159,0.376,1.5172907816589007,0.13102147581529758,1.5422622841977243,0.12300987011747287,0.03662765683031304,0.03662765683031304,0.40186915887850466,0.7048346055979644,0.5854710864138489,27,44,35,1.0
MEF2D,0.5058372744778799,0.7940100039763403,155,0.376,-3.4800003811056217,0.0005862978972648495,-1.2750927962574283,0.2022763988379256,-0.10594809144624973,0.10594809144624973,0.308411214953271,0.6895674300254453,1.0,42,31,36,1.0
SPI1,0.21544647120836055,0.5012067644532211,206,0.251,-0.9901958266497065,0.32333541461145465,-0.3716976633067674,0.7101179649710833,-0.06473727762641336,0.06473727762641336,0.4485981308411215,0.5979643765903307,1.0,36,37,37,1.0
HIVEP2,0.005712046894831923,0.033748393203028006,63,0.626,0.7505858962368861,0.4541436938721741,0.9935837030322016,0.32042558150705347,0.015355668917345477,0.015355668917345477,0.205607476635514,0.8956743002544529,0.2114899307389755,24,50,38,1.0
HDAC4,0.9997817948216791,0.9999882392700781,202,0.501,-4.215185110757138,4.072126390145568e-05,-3.9056556499746624,9.397024863950949e-05,-0.19930934643113524,0.19930934643113524,0.2616822429906542,0.5572519083969466,1.0,55,19,39,1.0
NR4A1,0.18428406950627976,0.45285035924293127,98,0.501,-0.5546056696000436,0.5798755482017184,-0.37207502134058135,0.7098369934417703,-0.02221720077746384,0.02221720077746384,0.17757009345794392,0.7989821882951654,1.0,33,49,40,1.0
FLI1,0.36637923532191063,0.6792816635173616,124,0.126,0.3919449868595945,0.6956204559837554,0.1577356581342424,0.8746651010863672,0.0381992104849874,0.0381992104849874,0.2523364485981308,0.7531806615776081,1.0,39,43,41,1.0
SMARCB1,0.9979437237487694,0.9998568645909839,129,0.501,-3.0477973799466715,0.0026079375668618824,-2.035469234392592,0.041803681134722624,-0.11317629236387983,0.11317629236387983,0.1588785046728972,0.7150127226463104,1.0,54,28,42,1.0
ING4,0.9998154617321848,0.9999900770378667,209,0.251,-3.7431301810371274,0.00023942112029479013,-3.026034073154282,0.002477843784746102,-0.1318512553118641,0.1318512553118641,0.27102803738317754,0.5419847328244275,1.0,56,26,43,1.0
KLF5,0.07976923554304838,0.2579243417749156,188,0.501,0.2711033852078986,0.7866643262945805,0.13584889217303173,0.8919407389338123,0.010630438595108366,0.010630438595108366,0.4392523364485981,0.6412213740458015,1.0,31,52,44,1.0
TFDP3,0.2899093933954597,0.5987108010675282,99,0.376,0.4835220719139733,0.6293745354192276,0.3422637366692772,0.732152423306123,0.02584215913926507,0.02584215913926507,0.21495327102803738,0.806615776081425,1.0,37,47,45,1.0
HBP1,0.05130083131428102,0.186866076511373,186,0.501,0.09942645896249937,0.9209270372525697,0.25886761119638824,0.7957373890669084,0.0021661515568421673,0.0021661515568421673,0.40186915887850466,0.6361323155216285,0.9148651662535969,29,55,46,1.0
HMGA1,0.9974175321179525,0.9998251165246107,129,0.251,-2.57951492348746,0.010628185894789444,-1.9667900722384484,0.049207417588799665,-0.09048526939256807,0.09048526939256807,0.1588785046728972,0.7150127226463104,1.0,53,34,47,1.0
PER1,0.713382235866336,0.9180538333907549,101,0.126,-0.4460398580207596,0.6561270194835698,-0.30452793328787947,0.760725714964021,-0.039752872217709775,0.039752872217709775,0.18691588785046728,0.7938931297709924,1.0,45,42,48,1.0
IKBKB,0.9974175321179525,0.9998251165246107,129,0.501,-2.529728275956656,0.012179419399773692,-1.9709410106104022,0.048730623530664055,-0.05160963257173748,0.05160963257173748,0.1588785046728972,0.7150127226463104,1.0,52,41,49,1.0
PPARA,0.8320253212993073,0.9641075775085309,148,0.251,-0.8980342100947684,0.37040735114741696,-0.6928293500824618,0.4884166509155855,-0.027585390266348854,0.027585390266348854,0.2616822429906542,0.6946564885496184,1.0,49,46,50,1.0
TP63,0.7337052894607837,0.9265697070239757,141,0.501,-1.0288129691991252,0.3049331183617267,-0.6883010536766941,0.49126321832539865,-0.02437657236065866,0.02437657236065866,0.2523364485981308,0.7099236641221374,1.0,47,48,51,1.0
ZNF383,0.959462542492337,0.9948566997412652,184,0.501,-1.9730772354264021,0.0500359075046502,-1.5803754456129357,0.11402091132468643,-0.033111726234023545,0.033111726234023545,0.2897196261682243,0.6106870229007634,1.0,51,45,52,1.0
LMO2,0.7043378586426768,0.9145314808375706,86,0.376,-0.41349565262905424,0.6797551173793932,-0.26490533973741187,0.7910823847344521,-0.007604247515174553,0.007604247515174553,0.1588785046728972,0.8244274809160306,1.0,44,53,53,1.0
POU2AF1,0.49875046856312527,0.7912268497472928,124,0.501,0.11620581603421033,0.9076292083953443,0.08754706384484268,0.9302366774715304,0.001873008054906014,0.001873008054906014,0.2523364485981308,0.7531806615776081,1.0,41,56,54,1.0
RELA,0.7659393276859958,0.9409587193679516,132,0.501,-0.46608074967197904,0.6417499443021739,-0.23132047472796793,0.8170658414579541,-0.014850762757087415,0.014850762757087415,0.2336448598130841,0.727735368956743,1.0,48,51,55,1.0
MLLT3,0.713382235866336,0.9180538333907549,101,0.501,-0.4460398580207596,0.6561270194835698,-0.30452793328787947,0.760725714964021,-0.006597558799980711,0.006597558799980711,0.18691588785046728,0.7938931297709924,1.0,46,54,56,1.0
