,gene_1,gene_2,HG_pval,rank
2557,RFXANK,CEBPZ_negation,4.634581640057982e-69,1
397,CEBPB,CEBPZ_negation,4.262472545169395e-53,2
3405,CEBPZ_negation,RBMX_negation,4.8436047460334207e-42,3
3390,CEBPZ_negation,ERG_negation,1.4568706130612278e-37,4
2452,POU2F2,CEBPZ_negation,2.407892466204146e-37,5
3393,CEBPZ_negation,FOS_negation,2.407892466204146e-37,6
3398,CEBPZ_negation,HOXA10_negation,2.407892466204146e-37,7
377,CEBPB,RFXANK,4.264242670617142e-35,8
643,CTNNB1,CEBPZ_negation,6.422724804629288e-34,9
3418,CEBPZ_negation,ZBTB2_negation,3.4492928740774875e-30,10
957,ELK1,CEBPZ_negation,2.5349565090444e-29,11
3414,CEBPZ_negation,WT1_negation,1.837843469057132e-28,12
2172,KLF4,CEBPZ_negation,1.3147649432486301e-27,13
2707,SMAD4,CEBPZ_negation,4.089908581525191e-26,14
142,ATF5,CEBPZ_negation,6.470415569417971e-26,15
3417,CEBPZ_negation,YY1_negation,2.80204298359653e-25,16
2053,IRF1,CEBPZ_negation,2.80204298359653e-25,17
1255,ETS2,CEBPZ_negation,4.45316836248203e-25,18
2568,RFXANK,HOXA10_negation,7.198356052077602e-25,19
3407,CEBPZ_negation,SEC14L2_negation,1.893601061826281e-24,20
2432,POU2F2,RFXANK,2.5762994170587002e-24,21
3322,CDX2_negation,CEBPZ_negation,3.026863713049701e-24,22
2463,POU2F2,HOXA10_negation,7.66858947710717e-24,23
375,CEBPB,POU2F2,1.0455453901403176e-23,24
3388,CEBPZ_negation,CREM_negation,1.348202857459463e-22,25
2287,MYC,CEBPZ_negation,1.348202857459463e-22,26
3409,CEBPZ_negation,STAT1_negation,5.392141500247654e-22,27
3142,ATF1_negation,CEBPZ_negation,8.838218732237999e-22,28
3404,CEBPZ_negation,PPARD_negation,8.838218732237999e-22,29
1738,HIF1A,CEBPZ_negation,8.838218732237999e-22,30
3396,CEBPZ_negation,HDAC1_negation,5.726681452534123e-21,31
3397,CEBPZ_negation,HDAC9_negation,5.726681452534123e-21,32
880,DNMT1,CEBPZ_negation,5.726681452534123e-21,33
3217,ATM_negation,CEBPZ_negation,2.185586632259498e-20,34
228,ATF6,CEBPZ_negation,3.6681716331087073e-20,35
623,CTNNB1,RFXANK,5.457859494451482e-20,36
2584,RFXANK,WT1_negation,3.278727284444245e-19,37
2560,RFXANK,ERG_negation,3.9892482027786483e-19,38
2588,RFXANK,ZBTB2_negation,1.2148124893935956e-18,39
3401,CEBPZ_negation,NFATC3_negation,1.4550414144667846e-18,40
1537,GTF2I,CEBPZ_negation,1.4550414144667846e-18,41
408,CEBPB,HOXA10_negation,2.5512211411957726e-18,42
3402,CEBPZ_negation,NFIC_negation,9.013698112996825e-18,43
348,CEBPB,CTNNB1,2.0846843252346605e-17,44
2563,RFXANK,FOS_negation,2.087688453417062e-17,45
2458,POU2F2,FOS_negation,5.3945136818682795e-17,46
55,ASH1L,CEBPZ_negation,5.523779100013656e-17,47
3416,CEBPZ_negation,YBX1_negation,5.523779100013656e-17,48
2802,SOX17,CEBPZ_negation,5.523779100013656e-17,49
2893,STAT5A,CEBPZ_negation,5.523779100013656e-17,50
400,CEBPB,ERG_negation,7.704878264025724e-17,51
2937,TFDP3,CEBPZ_negation,1.8286280217917455e-16,52
2552,RFXANK,ATM_negation,2.0506171259557312e-16,53
1910,HSF1,RFXANK,3.3492280872260125e-16,54
1803,HMGA1,CEBPZ_negation,3.3492280872260125e-16,55
2755,SMARCB1,CEBPZ_negation,3.3492280872260125e-16,56
3413,CEBPZ_negation,TWIST2_negation,3.3492280872260125e-16,57
3392,CEBPZ_negation,ETS1_negation,3.3492280872260125e-16,58
1992,IKBKB,CEBPZ_negation,3.3492280872260125e-16,59
2152,KLF4,RFXANK,4.911859578455491e-16,60
2575,RFXANK,RBMX_negation,1.0257355979217373e-15,61
