,gene_1,gene_2,HG_pval,TP,TN,q_value,HG_rank,CCS,MGD,CCS_rank,rank,Plot
1085,ERG_negation,FOXO1_negation,8.497860580296013e-07,0.24074074074074073,0.9362244897959183,7.994787233942488e-06,125,1.2128055440274204,0.2368055440274203,41,1,1.0
833,USF2,CHD4_negation,8.894839210916267e-12,0.14814814814814814,1.0,2.051045276870104e-10,51,0.9817515419494125,0.19375154194941255,134,2,1.0
780,TP53,CHD4_negation,1.6907545607534653e-12,0.1574074074074074,1.0,4.518925826013807e-11,44,0.9717969008693195,0.19179690086931947,147,3,1.0
1026,CHD4_negation,ERG_negation,3.664716677754329e-16,0.2037037037037037,1.0,1.7238827252156366e-14,25,0.9220236954688541,0.18202369546885416,183,4,1.0
1024,CHD4_negation,CREB3_negation,4.099330918054727e-11,0.16666666666666666,0.9948979591836735,8.765114835695198e-10,55,0.9467406699367326,0.1867406699367326,166,5,1.0
1033,CHD4_negation,SP1_negation,8.482894464329933e-12,0.17592592592592593,0.9948979591836735,1.9951767780104002e-10,50,0.9368884483669537,0.1848884483669538,173,6,1.0
693,STAT3,CHD4_negation,3.487031762532677e-13,0.19444444444444445,0.9948979591836735,1.025187338184607e-11,40,0.9168767466964532,0.18087674669645337,186,7,1.0
910,YY1,FOXO1_negation,0.00038142827494994536,0.18518518518518517,0.9336734693877551,0.0021565367852939216,208,1.26500733814866,0.24700733814866,27,8,1.0
1029,CHD4_negation,NFKB1_negation,2.3605579747795466e-10,0.16666666666666666,0.9923469387755102,4.2060851186981005e-09,66,0.9393947140311141,0.18539471403111418,170,9,1.0
496,RFX1,ERG_negation,1.2294494118502667e-09,0.12037037037037036,1.0,1.9277766777812184e-08,75,0.9477622380967097,0.18776223809670975,163,10,0.0
255,ESR2,CHD4_negation,8.96945702313942e-08,0.12962962962962962,0.9923469387755102,1.0142386018473037e-06,104,0.9790084393308579,0.19300843933085793,138,11,0.0
297,FOS,CHD4_negation,5.41772103426484e-11,0.18518518518518517,0.9897959183673469,1.0618733227159087e-09,59,0.9117297979240525,0.1797297979240526,189,12,1.0
77,CREM,CHD4_negation,2.633404394968336e-15,0.2222222222222222,0.9948979591836735,1.1469939142528753e-13,27,0.8870128234561742,0.1750128234561742,225,13,1.0
1034,CHD4_negation,SPI1_negation,4.6137081790777035e-09,0.1574074074074074,0.9897959183673469,6.383200963053387e-08,85,0.9416961406746461,0.1856961406746461,168,14,1.0
882,YBX1,CHD4_negation,8.15251412029861e-18,0.24074074074074073,0.9974489795918368,4.793678302735583e-16,20,0.8746543362222349,0.17265433622223497,239,15,1.0
1107,FOXO1_negation,WT1_negation,6.36871406538459e-05,0.25925925925925924,0.8979591836734694,0.0004354423105169929,172,1.08128676064795,0.21128676064794988,89,16,1.0
948,ARNT_negation,CHD4_negation,1.0733162654125816e-20,0.25925925925925924,1.0,8.414799520834639e-19,15,0.8622958489882958,0.17029584898829578,252,17,1.0
1038,CHD4_negation,WWTR1_negation,1.667007356905351e-08,0.1574074074074074,0.9872448979591837,2.1782229463563251e-07,90,0.9340429262380849,0.18404292623808494,177,18,1.0
485,RFX1,YBX1,4.243347347994478e-09,0.1388888888888889,0.9948979591836735,5.9406862871922686e-08,83,0.9127513660840297,0.18075136608402978,188,19,0.0
212,ERCC2,CHD4_negation,1.3275932100754133e-08,0.16666666666666666,0.9846938775510204,1.7741472898280523e-07,88,0.9165374902317449,0.18053749023174492,187,20,1.0
378,KLF2,CHD4_negation,1.1425771259981176e-13,0.2222222222222222,0.9897959183673469,3.5393898439172484e-12,37,0.8719112336036804,0.17191123360368038,240,21,1.0
123,DEK,CHD4_negation,1.77301897703075e-17,0.25,0.9948979591836735,9.9289062713722e-16,21,0.8571489002158948,0.16914890021589496,257,22,1.0
483,RFX1,USF2,1.4177801484304914e-06,0.09259259259259259,0.9974489795918368,1.2727553088200441e-05,129,0.970075366410742,0.19207536641074208,150,23,0.0
858,WT1,CHD4_negation,5.2460831912964594e-08,0.1574074074074074,0.9846938775510204,6.169393832964635e-07,100,0.9265945508221523,0.18259455082215226,179,24,1.0
528,SF1,CHD4_negation,2.0262640496448456e-07,0.14814814814814814,0.9846938775510204,2.2480061531908853e-06,106,0.9364467723919311,0.18444677239193108,174,25,0.0
785,TP53,FOXO1_negation,0.003827427789644528,0.10185185185185185,0.9693877551020408,0.015904788270748992,283,1.4589916346209035,0.2849916346209034,3,26,0.0
1035,CHD4_negation,TWIST2_negation,3.896015214573662e-08,0.16666666666666666,0.9821428571428571,4.772618637852736e-07,96,0.908986695305498,0.17898669530549804,193,27,1.0
987,BCL6_negation,CHD4_negation,1.89634312743778e-10,0.19444444444444445,0.9846938775510204,3.5339426854398175e-09,63,0.8868784060120941,0.17487840601209423,226,28,1.0
863,WT1,FOXO1_negation,0.0038656614263759765,0.1388888888888889,0.9464285714285714,0.015950939780414553,285,1.35186243095996,0.2638624309599601,12,29,0.0
