,gene_1,gene_2,HG_pval,rank
1721,STAT4,ETS1_negation,4.617592711801406e-18,1
492,ELK1,STAT4,2.63831349012496e-12,2
234,BRCA1,STAT4,3.810248774223366e-10,3
2232,ETS1_negation,HDAC1_negation,8.040075151009116e-10,4
1722,STAT4,HDAC1_negation,1.9017146790324524e-09,5
692,GABPA,ETS1_negation,2.871142058897994e-09,6
1734,STAT4,SPI1_negation,2.9015968555513417e-09,7
1601,SNAI1,ETS1_negation,4.399039027472989e-09,8
251,BRCA1,ETS1_negation,5.371997521810516e-09,9
1187,KLF2,ETS1_negation,7.4489338835212625e-09,10
509,ELK1,ETS1_negation,9.475196868410717e-09,11
1832,WT1,ETS1_negation,1.5729869603855936e-08,12
905,HSF1,STAT4,1.5729869603855936e-08,13
1237,KLF8,ETS1_negation,4.967088842790537e-08,14
1707,STAT4,WT1,5.293979655633019e-08,15
2244,ETS1_negation,SPI1_negation,8.393125222903309e-08,16
977,IKBKB,ETS1_negation,9.647828259487583e-08,17
1559,SMARCB1,ETS1_negation,9.647828259487583e-08,18
809,HMGA1,ETS1_negation,9.647828259487583e-08,19
522,ELK1,SPI1_negation,1.0828541015905942e-07,20
2249,ETS1_negation,TWIST2_negation,1.686194272419998e-07,21
1642,SNAI2,ETS1_negation,2.4434301706187964e-07,22
1625,SNAI2,STAT4,6.139231891772468e-07,23
1739,STAT4,TWIST2_negation,6.236611868628989e-07,24
1718,STAT4,CREB3_negation,6.236611868628989e-07,25
480,ELK1,KLF2,6.804669958083317e-07,26
1104,IRF2,YY1_negation,1.44396880075908e-06,27
960,IKBKB,STAT4,1.8785994983791563e-06,28
1542,SMARCB1,STAT4,1.8785994983791563e-06,29
792,HMGA1,STAT4,1.8785994983791563e-06,30
2027,ARNT_negation,ETS1_negation,1.9491897384006484e-06,31
1584,SNAI1,STAT4,2.002867944797015e-06,32
1714,STAT4,ATF1_negation,2.4114037675544467e-06,33
116,ATF6,ETS1_negation,2.9084256526266645e-06,34
1067,IRF2,STAT4,3.2415391559447052e-06,35
1516,SMARCA1,ETS1_negation,3.2452136275700234e-06,36
2238,ETS1_negation,PARP1_negation,3.2452136275700234e-06,37
1733,STAT4,SP1_negation,3.3355818460262947e-06,38
99,ATF6,STAT4,3.4159940008206346e-06,39
1364,RORA,STAT4,4.118520973227124e-06,40
1084,IRF2,ETS1_negation,4.693093521408516e-06,41
2241,ETS1_negation,RXRA_negation,4.929129981006404e-06,42
1427,RUNX1,ETS1_negation,4.929129981006404e-06,43
2186,CREM_negation,ETS1_negation,5.592665281655555e-06,44
1727,STAT4,NFKB1_negation,5.89071576428471e-06,45
2243,ETS1_negation,SP1_negation,5.9528900363995065e-06,46
1934,ZNF148,ETS1_negation,6.035796751527008e-06,47
1334,PIAS1,ETS1_negation,6.486554313060734e-06,48
1741,STAT4,YY1_negation,6.486554313060734e-06,49
1997,AR_negation,ETS1_negation,6.486554313060734e-06,50
1193,KLF2,NFKB1_negation,8.282344946860812e-06,51
2397,RUNX1_negation,SPI1_negation,9.103062914692281e-06,52
685,GABPA,ATF1_negation,9.457018472255524e-06,53
2251,ETS1_negation,YY1_negation,9.576011554665901e-06,54
210,BRCA1,ELK1,9.803982773798601e-06,55
