,gene_1,gene_2,HG_pval,rank
417,PAX5,CHD4_negation,5.416565182229401e-46,1
1036,CHD4_negation,VDR_negation,9.763797416717412e-41,2
1027,CHD4_negation,FOXO1_negation,1.8893861701624897e-40,3
1005,CEBPD_negation,CHD4_negation,3.033511273691983e-33,4
492,RFX1,CHD4_negation,7.8304034897247835e-31,5
1037,CHD4_negation,WT1_negation,2.8647800806369967e-29,6
905,YY1,CHD4_negation,1.3549786234112336e-27,7
1106,FOXO1_negation,VDR_negation,2.2537862241786795e-26,8
1023,CHD4_negation,CIITA_negation,1.6980275097494011e-25,9
1032,CHD4_negation,SMAD3_negation,3.155666996979756e-25,10
752,TCF4,CHD4_negation,2.561451007162773e-22,11
1028,CHD4_negation,KLF4_negation,6.459883467163716e-22,12
168,ELK1,CHD4_negation,1.0180734289114576e-21,13
431,PAX5,VDR_negation,5.7918903953202335e-21,14
948,ARNT_negation,CHD4_negation,1.0733162654125816e-20,15
416,PAX5,CEBPD_negation,5.701207759126508e-20,16
422,PAX5,FOXO1_negation,2.128970751842881e-19,17
1052,CIITA_negation,VDR_negation,2.0734035570575542e-18,18
432,PAX5,WT1_negation,6.632591612154326e-18,19
882,YBX1,CHD4_negation,8.15251412029861e-18,20
123,DEK,CHD4_negation,1.77301897703075e-17,21
563,SMAD3,CHD4_negation,4.141612718141085e-17,22
1019,CEBPD_negation,VDR_negation,1.2932694813644847e-16,23
506,RFX1,VDR_negation,1.8866721115842703e-16,24
1026,CHD4_negation,ERG_negation,3.664716677754329e-16,25
662,SPI1,CHD4_negation,9.15483458993714e-16,26
77,CREM,CHD4_negation,2.633404394968336e-15,27
397,PAX5,RFX1,4.963698071611345e-15,28
1025,CHD4_negation,E2F1_negation,5.101204961464836e-15,29
338,HOXA7,CHD4_negation,7.120606337036258e-15,30
1043,CIITA_negation,FOXO1_negation,1.3596689392669458e-14,31
455,PKNOX1,CHD4_negation,2.338234096911595e-14,32
423,PAX5,KLF4_negation,2.6657866655061373e-14,33
896,YBX1,VDR_negation,5.947990967827475e-14,34
146,ELK1,PAX5,9.764854104164229e-14,35
30,CEBPE,CHD4_negation,1.0943744461489858e-13,36
378,KLF2,CHD4_negation,1.1425771259981176e-13,37
405,PAX5,TCF4,1.1737772441562305e-13,38
1030,CHD4_negation,RELA_negation,1.1737772441562305e-13,39
693,STAT3,CHD4_negation,3.487031762532677e-13,40
968,ATF2_negation,CHD4_negation,4.0320799822420086e-13,41
497,RFX1,FOXO1_negation,4.0320799822420086e-13,42
1094,ERG_negation,VDR_negation,9.804910682727311e-13,43
780,TP53,CHD4_negation,1.6907545607534653e-12,44
1170,VDR_negation,WT1_negation,2.470733636202316e-12,45
1151,SMAD3_negation,VDR_negation,3.53493481441245e-12,46
413,PAX5,ARNT_negation,4.98177287949941e-12,47
491,RFX1,CEBPD_negation,6.544944694324778e-12,48
411,PAX5,YY1,7.333646412673175e-12,49
1033,CHD4_negation,SP1_negation,8.482894464329933e-12,50
833,USF2,CHD4_negation,8.894839210916267e-12,51
396,PAX5,PKNOX1,1.189440231033482e-11,52
427,PAX5,SMAD3_negation,2.745795426442261e-11,53
723,STAT6,CHD4_negation,4.0937285388324895e-11,54
1024,CHD4_negation,CREB3_negation,4.099330918054727e-11,55
402,PAX5,SPI1,5.1061635013928374e-11,56
493,RFX1,CIITA_negation,5.1061635013928374e-11,57
418,PAX5,CIITA_negation,5.124189503052263e-11,58
297,FOS,CHD4_negation,5.41772103426484e-11,59
488,RFX1,ARNT_negation,5.41772103426484e-11,60
1006,CEBPD_negation,CIITA_negation,1.2416019361362206e-10,61
1010,CEBPD_negation,FOXO1_negation,1.3768994967798678e-10,62
987,BCL6_negation,CHD4_negation,1.89634312743778e-10,63
421,PAX5,ERG_negation,1.953284647564525e-10,64
420,PAX5,E2F1_negation,1.953284647564525e-10,65
1029,CHD4_negation,NFKB1_negation,2.3605579747795466e-10,66
410,PAX5,YBX1,6.0877044706985e-10,67
847,USF2,VDR_negation,6.0877044706985e-10,68
982,ATF2_negation,VDR_negation,7.974644673312845e-10,69
148,ELK1,RFX1,9.24051675365321e-10,70
425,PAX5,RELA_negation,1.0677183584909742e-09,71
137,DEK,VDR_negation,1.0677183584909742e-09,72
128,DEK,FOXO1_negation,1.0698943463529258e-09,73
101,DEK,PAX5,1.0698943463529258e-09,74
496,RFX1,ERG_negation,1.2294494118502667e-09,75
919,YY1,VDR_negation,1.3341344748604546e-09,76
766,TCF4,VDR_negation,1.5499853469306856e-09,77
1117,KLF4_negation,VDR_negation,1.5499853469306856e-09,78
1053,CIITA_negation,WT1_negation,3.287624305486914e-09,79
1039,CHD4_negation,ZBTB2_negation,3.524078719466266e-09,80
182,ELK1,VDR_negation,3.524078719466266e-09,81
962,ARNT_negation,VDR_negation,4.038041212386195e-09,82
485,RFX1,YBX1,4.243347347994478e-09,83
169,ELK1,CIITA_negation,4.243347347994478e-09,84
1034,CHD4_negation,SPI1_negation,4.6137081790777035e-09,85
1067,CREB3_negation,VDR_negation,6.249701176906064e-09,86
507,RFX1,WT1_negation,1.080506806937724e-08,87
212,ERCC2,CHD4_negation,1.3275932100754133e-08,88
753,TCF4,CIITA_negation,1.4094488842630646e-08,89
1038,CHD4_negation,WWTR1_negation,1.667007356905351e-08,90
8,CEBPE,PAX5,1.938002577453805e-08,91
469,PKNOX1,VDR_negation,2.0873606045781316e-08,92
667,SPI1,FOXO1_negation,2.7888834960935452e-08,93
408,PAX5,USF2,3.150622552066997e-08,94
883,YBX1,CIITA_negation,3.150622552066997e-08,95
1035,CHD4_negation,TWIST2_negation,3.896015214573662e-08,96
316,HOXA7,PAX5,4.7855317081986846e-08,97
404,PAX5,STAT6,4.7855317081986846e-08,98
352,HOXA7,VDR_negation,5.2460831912964594e-08,99
858,WT1,CHD4_negation,5.2460831912964594e-08,100
1009,CEBPD_negation,ERG_negation,6.738543667695672e-08,101
124,DEK,CIITA_negation,8.65463672830831e-08,102
1048,CIITA_negation,SMAD3_negation,8.96945702313942e-08,103
255,ESR2,CHD4_negation,8.96945702313942e-08,104
122,DEK,CEBPD_negation,2.0262640496448456e-07,105
528,SF1,CHD4_negation,2.0262640496448456e-07,106
597,SMARCB1,CHD4_negation,2.5626906383075726e-07,107
838,USF2,FOXO1_negation,2.6640363578526583e-07,108
1020,CEBPD_negation,WT1_negation,2.812635728216279e-07,109
904,YY1,CEBPD_negation,2.812635728216279e-07,110
1157,SP1_negation,VDR_negation,3.0932799330240654e-07,111
807,TP63,CHD4_negation,3.78535176778819e-07,112
403,PAX5,STAT3,3.78535176778819e-07,113
1044,CIITA_negation,KLF4_negation,3.78535176778819e-07,114
1031,CHD4_negation,RXRA_negation,3.8118201614546693e-07,115
881,YBX1,CEBPD_negation,5.458620005112015e-07,116
1081,E2F1_negation,VDR_negation,5.458620005112015e-07,117
275,FOS,PAX5,5.458620005112015e-07,118
399,PAX5,SMAD3,6.246515439650897e-07,119
55,CREM,PAX5,7.639491335565589e-07,120
495,RFX1,E2F1_negation,7.639491335565589e-07,121
949,ARNT_negation,CIITA_negation,7.812907439723242e-07,122
1042,CIITA_negation,ERG_negation,7.812907439723242e-07,123
502,RFX1,SMAD3_negation,8.245318573673641e-07,124
1085,ERG_negation,FOXO1_negation,8.497860580296013e-07,125
129,DEK,KLF4_negation,1.3143455171347059e-06,126
498,RFX1,KLF4_negation,1.3393115850774464e-06,127
837,USF2,ERG_negation,1.4177801484304914e-06,128
483,RFX1,USF2,1.4177801484304914e-06,129
392,KLF2,VDR_negation,1.4177801484304914e-06,130
781,TP53,CIITA_negation,1.4177801484304914e-06,131
906,YY1,CIITA_negation,1.9667835519666854e-06,132
415,PAX5,BCL6_negation,2.8070614967426152e-06,133
1015,CEBPD_negation,SMAD3_negation,4.0506593994706715e-06,134
630,SOX17,CHD4_negation,4.14590590155824e-06,135
737,STAT6,VDR_negation,4.6310114609474655e-06,136
503,RFX1,SP1_negation,4.6310114609474655e-06,137
414,PAX5,ATF2_negation,5.116547244677338e-06,138
872,WT1,VDR_negation,6.279734803685344e-06,139
1171,VDR_negation,WWTR1_negation,6.279734803685344e-06,140
1054,CIITA_negation,WWTR1_negation,6.39512729129295e-06,141
103,DEK,RFX1,6.5096718119245255e-06,142
480,RFX1,TCF4,6.736006391865266e-06,143
91,CREM,VDR_negation,6.960040924077565e-06,144
486,RFX1,YY1,8.73704375259879e-06,145
724,STAT6,CIITA_negation,1.0033227328644016e-05,146
969,ATF2_negation,CIITA_negation,1.4183385884173634e-05,147
1001,BCL6_negation,VDR_negation,1.4183385884173634e-05,148
424,PAX5,NFKB1_negation,1.5514665897626066e-05,149
963,ARNT_negation,WT1_negation,1.8049260029211053e-05,150
121,DEK,BCL6_negation,1.87630453163278e-05,151
834,USF2,CIITA_negation,1.87630453163278e-05,152
663,SPI1,CIITA_negation,1.9263886356548608e-05,153
1041,CIITA_negation,E2F1_negation,1.9263886356548608e-05,154
356,KLF2,PAX5,2.0696689532085946e-05,155
