gene_1,mHG_stat,mHG_pval,mHG_cutoff,cutoff_val,t_stat,t_pval,w_stat,w_pval,Log2FoldChange,Log2FoldChangeAbs,TP,TN,q_value,hgrank,fcrank,rank,Plot
ZNF76,3.170424794372401e-30,5.42226684019142e-29,81,0.376,12.099204614107606,2.8152759288334547e-21,9.603807379639182,7.704465954917991e-22,0.5932119217760121,0.5932119217760121,0.6309523809523809,0.9326923076923077,8.494884716299891e-27,3,5,1,1.0
GATA2,1.5653333900086552e-21,3.1956984156123284e-20,36,0.376,6.701092801820771,1.8662075920933767e-09,6.61089671779473,3.819989426602141e-11,0.6080648716608436,0.6080648716608436,0.3333333333333333,0.9807692307692307,1.3654347775798132e-18,6,4,2,1.0
RBMX,2.681752899678921e-26,5.187031049637717e-25,107,0.751,11.069518490383013,3.6419528527485386e-20,9.003569418411733,2.184957564333993e-19,0.5110687618708727,0.5110687618708727,0.6785714285714286,0.8798076923076923,3.0473807416621585e-23,5,7,3,1.0
SNAI1,1.194089959951892e-16,2.161754392425639e-15,163,0.251,9.065340905291274,4.431695655044033e-15,7.185883288929162,6.677406765344036e-13,0.6343490279933942,0.6343490279933942,0.7261904761904762,0.7548076923076923,3.907786786307886e-14,12,3,4,1.0
ERG,1.363807446522499e-18,2.4119602995357112e-17,164,0.626,13.045268235087502,3.19711718351777e-27,9.109128508144837,8.304636099280103e-20,0.5413723293842346,0.5413723293842346,0.7261904761904762,0.7524038461538461,5.152824276280837e-16,10,6,5,1.0
LYL1,2.2458274244691556e-34,3.9933554408404594e-33,74,0.626,10.906989037942466,1.749248868684912e-18,9.002327546767814,2.2098212790482215e-19,0.331311352619323,0.331311352619323,0.5119047619047619,0.9254807692307693,1.876877057195016e-30,1,17,6,1.0
ETS1,1.0828408182333935e-20,2.067128357033659e-19,140,0.501,9.747551776276424,1.274571323429647e-16,8.687720063641702,3.6978562573091225e-18,0.4233191789588317,0.4233191789588317,0.7142857142857143,0.8076923076923077,6.939645198612998e-18,8,12,7,1.0
RFX1,9.739570484476584e-13,1.6316709347715893e-11,126,0.126,9.43683886574163,7.170147342946272e-17,7.2020276203001075,5.932367134689444e-13,1.0100328848473286,1.0100328848473286,0.5119047619047619,0.8004807692307693,1.8259174746253502e-10,21,2,8,1.0
CEBPD,1.4867662771071946e-26,2.7984510053302067e-25,122,0.626,12.873492059301487,1.5653917861984895e-27,9.244492517331992,2.3635963327590516e-20,0.2960742046020573,0.2960742046020573,0.7261904761904762,0.8533653846153846,1.8789599607217102e-23,4,19,9,1.0
SOX17,3.4151272615043085e-15,5.753035821235032e-14,137,0.251,6.528683461925851,3.2607290215309797e-09,6.732186181684138,1.671325849999508e-11,0.45921350750490286,0.45921350750490286,0.6428571428571429,0.8004807692307693,8.722344632195048e-13,16,9,10,1.0
DMAP1,3.642719643004469e-08,5.190783673575015e-07,101,0.001,3.799649151347666,0.000249607143286059,3.5281573403734803,0.0004184633425934378,1.3593123191483403,1.3593123191483403,0.40476190476190477,0.8389423076923077,3.902473471413296e-06,25,1,11,1.0
MTA1,5.9157528180271255e-31,1.1535293650591463e-29,95,0.376,11.428939021526043,1.3292309899927197e-19,8.70138065172481,3.2787048510667254e-18,0.25669344753557016,0.25669344753557016,0.6904761904761905,0.9110576923076923,2.710794007888994e-27,2,24,12,1.0
PLAGL2,3.6851254653671764e-14,6.459782358472324e-13,17,0.501,5.984343808682658,4.4225132686203264e-08,5.200958444732184,1.9826343189123524e-07,0.5109893628277142,0.5109893628277142,0.17857142857142858,0.9951923076923077,8.929699142594095e-12,18,8,13,1.0
MTF1,1.6069715947651932e-16,3.0081396278722833e-15,26,0.626,8.439026810919438,1.4815697136619397e-13,7.260809544778933,3.847804120020988e-13,0.37720730799146523,0.37720730799146523,0.27380952380952384,0.9927884615384616,5.236391204073974e-14,13,14,14,1.0
ERCC2,2.6166311558327424e-14,4.469832249483121e-13,34,0.626,6.194499726087616,1.5143234372117307e-08,5.320178122548395,1.0366570549649907e-07,0.34805300752784,0.34805300752784,0.21428571428571427,0.9615384615384616,6.366124718960808e-12,17,15,15,1.0
NFE2L2,2.889456328285574e-15,5.011883296542421e-14,70,0.501,9.67210699224858,2.339606497154488e-16,8.196352849864475,2.477902836368279e-16,0.31312579453580325,0.31312579453580325,0.44047619047619047,0.9206730769230769,8.122707411637716e-13,15,18,16,1.0
EZH2,5.553033025158434e-17,1.0017273946284385e-15,65,0.376,8.97123246496579,1.1189143111058184e-15,6.195697631511191,5.802743026558096e-10,0.26146019006013416,0.26146019006013416,0.44047619047619047,0.9326923076923077,1.9617161478140253e-14,11,22,17,1.0
JUND,4.797789266037594e-21,8.833923653479802e-20,131,0.376,5.370094313805395,2.9831930761922255e-07,6.410127468694514,1.4539801823428254e-10,0.19635988982649602,0.19635988982649602,0.7023809523809523,0.8269230769230769,3.4599534309462557e-18,7,26,18,1.0
PGR,4.0025297721723565e-11,6.614542493154225e-10,133,0.251,5.742548386555102,9.112950237786536e-08,5.502733254204467,3.739479888485868e-08,0.4361638523877394,0.4361638523877394,0.5714285714285714,0.7956730769230769,6.476739524546846e-09,23,11,19,1.0
ZBTB7A,9.083497516480403e-12,1.518538603554508e-10,32,0.501,8.53701308921215,2.899368647278325e-14,6.584403456057794,4.567153789687487e-11,0.40773602559685207,0.40773602559685207,0.20238095238095238,0.9639423076923077,1.5860292081569307e-09,22,13,20,1.0
PPARG,1.934150323164445e-16,3.4346031461234555e-15,45,0.501,5.874295091389861,6.708861039905287e-08,5.175293097424528,2.2755347448864738e-07,0.27175829067650936,0.27175829067650936,0.34523809523809523,0.9615384615384616,5.765226709564372e-14,14,21,21,1.0
SPI1,1.087342985313506e-07,1.382348596963746e-06,75,0.376,5.98644442364458,2.9204969531398182e-08,5.618227317088921,1.929265722063264e-08,0.4536148915792258,0.4536148915792258,0.34523809523809523,0.8894230769230769,9.02366445240223e-06,28,10,22,1.0
