gene_1,mHG_stat,mHG_pval,mHG_cutoff,cutoff_val,t_stat,t_pval,w_stat,w_pval,Log2FoldChange,Log2FoldChangeAbs,TP,TN,q_value,hgrank,fcrank,rank,Plot
PAX5,4.61135174228205e-32,1.0559754309906274e-30,99,0.501,14.34317312321518,5.6182700929802384e-30,11.218261190571535,3.317287204635635e-29,0.4079114032640935,0.4079114032640935,0.6203703703703703,0.9183673469387755,1.2407711314139873e-28,1,2,1,1.0
RFX1,9.154641753411544e-23,2.2026299254860877e-21,126,0.126,12.724923839195588,5.534624499993723e-29,9.086231196627722,1.025315771344134e-19,1.1772948251441604,1.1772948251441604,0.5,0.8163265306122449,1.1502622944205125e-19,3,1,2,1.0
DEK,1.1802251815334856e-23,3.0646884855821874e-22,55,0.626,9.20361596606003,2.875613309446113e-16,8.013258613681575,1.1170839741886596e-15,0.37561002878824273,0.37561002878824273,0.2777777777777778,0.9362244897959183,2.0577194117480402e-20,2,3,3,1.0
SPI1,5.42288050522996e-10,9.928912260729307e-09,75,0.376,4.5745591858160175,9.65504279203254e-06,4.619461001166321,3.847381832651052e-06,0.31495856072159834,0.31495856072159834,0.28703703703703703,0.8877551020408163,2.7450522132604555e-07,4,4,4,1.0
YBX1,2.543381277538637e-06,3.3530169019325824e-05,79,0.251,4.9303323591161865,1.8505300024020115e-06,3.8992568314005056,9.648838533617065e-05,0.20774483420367595,0.20774483420367595,0.26851851851851855,0.8724489795918368,0.000492474357471348,6,6,5,1.0
USF2,7.003491140634482e-09,1.1971448153015033e-07,29,0.501,4.522954182500383,1.185652645195446e-05,4.151234269386457,3.306870595224283e-05,0.18358666490319975,0.18358666490319975,0.16666666666666666,0.9719387755102041,3.125878128842814e-06,5,9,6,1.0
ELK1,0.01564961270976941,0.07738158807932792,145,0.501,2.561895056609195,0.011263604287211546,2.2463600553583354,0.024680954717328646,0.1970637442797284,0.1970637442797284,0.3425925925925926,0.7244897959183674,0.2301857366916717,10,7,7,1.0
YY1,1.8842740042833363e-05,0.00021918093221059666,159,0.376,2.8083827954366494,0.005495118308881622,3.0748769148852753,0.0021058944269640193,0.14910282063706706,0.14910282063706706,0.4444444444444444,0.7168367346938775,0.0024527390033090577,8,10,8,1.0
PKNOX1,0.00400180622093596,0.024840274939357143,88,0.251,2.065426850379922,0.04059820536855425,1.5028385704356115,0.13288067704531095,0.11327032188233147,0.11327032188233147,0.25,0.8443877551020408,0.11014084171224393,9,12,9,1.0
TP53,0.023676840714768096,0.10551975652514319,85,0.251,1.1777482612778867,0.24063571034409714,1.0105423520421644,0.31223551915570247,0.11258793055840376,0.11258793055840376,0.17592592592592593,0.8316326530612245,0.2952040807548649,11,13,10,1.0
CREM,5.023113257500985e-06,6.154262296653163e-05,81,0.626,3.5773091605751395,0.0004371264578813774,3.1922156621264945,0.0014118587438568166,0.06887022128826312,0.06887022128826312,0.2222222222222222,0.8545918367346939,0.0008765161452809051,7,18,11,1.0
WT1,0.4340287226312446,0.7450562454301632,89,0.501,-2.031329926321101,0.0437856972127889,-2.3170641722857366,0.020500236319971214,-0.12327716679247253,0.12327716679247253,0.16666666666666666,0.8188775510204082,0.9693735321155688,21,11,12,1.0
ZNF76,0.9896263718028515,0.9991211820641285,159,0.251,-6.727843402093651,7.401756081688446e-11,-3.661194565363033,0.0002510420180329141,-0.23950786812810787,0.23950786812810787,0.1574074074074074,0.6377551020408163,1.0,27,5,13,1.0
SOX17,0.9019920413576743,0.9836178838329398,137,0.251,-4.43475263675979,1.2917521310985132e-05,-2.51413309393445,0.011932539242388905,-0.18512443072427243,0.18512443072427243,0.1574074074074074,0.6938775510204082,1.0,25,8,14,1.0
