,gene_1,gene_2,gene_3,gene_4,HG_stat,TP,TN,rank
567551,ENSG00000115523,ENSG00000145649,ENSG00000105374,ENSG00000077984,3.70929026183735e-74,0.8,1.0,1
609794,ENSG00000115523,ENSG00000077984,ENSG00000145649,ENSG00000105374,3.70929026183735e-74,0.8,1.0,2
2115629,ENSG00000077984,ENSG00000145649,ENSG00000105374,ENSG00000115523,3.70929026183735e-74,0.8,1.0,3
2113154,ENSG00000077984,ENSG00000115523,ENSG00000105374,ENSG00000145649,3.70929026183735e-74,0.8,1.0,4
953426,ENSG00000145649,ENSG00000115523,ENSG00000105374,ENSG00000077984,3.70929026183735e-74,0.8,1.0,5
953201,ENSG00000145649,ENSG00000115523,ENSG00000077984,ENSG00000105374,3.70929026183735e-74,0.8,1.0,6
619874,ENSG00000115523,ENSG00000105374,ENSG00000077984,ENSG00000145649,3.70929026183735e-74,0.8,1.0,7
567530,ENSG00000115523,ENSG00000145649,ENSG00000105374,ENSG00000169583,1.426406767312626e-71,0.78,1.0,8
1165025,ENSG00000169583,ENSG00000115523,ENSG00000105374,ENSG00000145649,1.426406767312626e-71,0.78,1.0,9
598955,ENSG00000115523,ENSG00000100453,ENSG00000145649,ENSG00000105374,1.426406767312626e-71,0.78,1.0,10
600260,ENSG00000115523,ENSG00000100453,ENSG00000105374,ENSG00000145649,1.426406767312626e-71,0.78,1.0,11
966185,ENSG00000145649,ENSG00000169583,ENSG00000105374,ENSG00000115523,1.426406767312626e-71,0.78,1.0,12
567050,ENSG00000115523,ENSG00000145649,ENSG00000100453,ENSG00000105374,1.426406767312626e-71,0.78,1.0,13
1006798,ENSG00000145649,ENSG00000105374,ENSG00000100453,ENSG00000115523,1.426406767312626e-71,0.78,1.0,14
952235,ENSG00000145649,ENSG00000115523,ENSG00000169583,ENSG00000105374,1.426406767312626e-71,0.78,1.0,15
1172330,ENSG00000169583,ENSG00000145649,ENSG00000105374,ENSG00000115523,1.426406767312626e-71,0.78,1.0,16
567545,ENSG00000115523,ENSG00000145649,ENSG00000105374,ENSG00000100453,1.426406767312626e-71,0.78,1.0,17
953405,ENSG00000145649,ENSG00000115523,ENSG00000105374,ENSG00000169583,1.426406767312626e-71,0.78,1.0,18
571700,ENSG00000115523,ENSG00000169583,ENSG00000145649,ENSG00000105374,1.426406767312626e-71,0.78,1.0,19
953420,ENSG00000145649,ENSG00000115523,ENSG00000105374,ENSG00000100453,1.426406767312626e-71,0.78,1.0,20
618773,ENSG00000115523,ENSG00000105374,ENSG00000145649,ENSG00000169583,1.426406767312626e-71,0.78,1.0,21
952925,ENSG00000145649,ENSG00000115523,ENSG00000100453,ENSG00000105374,1.426406767312626e-71,0.78,1.0,22
1006108,ENSG00000145649,ENSG00000105374,ENSG00000169583,ENSG00000115523,1.426406767312626e-71,0.78,1.0,23
573005,ENSG00000115523,ENSG00000169583,ENSG00000105374,ENSG00000145649,1.426406767312626e-71,0.78,1.0,24
618788,ENSG00000115523,ENSG00000105374,ENSG00000145649,ENSG00000100453,1.426406767312626e-71,0.78,1.0,25
1937480,ENSG00000100453,ENSG00000115523,ENSG00000105374,ENSG00000145649,1.426406767312626e-71,0.78,1.0,26
620058,ENSG00000115523,ENSG00000105374,ENSG00000011600,ENSG00000145649,2.6233480981447293e-70,0.77,1.0,27
2189505,ENSG00000011600,ENSG00000145649,ENSG00000105374,ENSG00000115523,2.6233480981447293e-70,0.77,1.0,28
610622,ENSG00000115523,ENSG00000077984,ENSG00000100453,ENSG00000105374,2.6233480981447293e-70,0.77,1.0,29
617000,ENSG00000115523,ENSG00000011600,ENSG00000145649,ENSG00000105374,2.6233480981447293e-70,0.77,1.0,30
1937279,ENSG00000100453,ENSG00000115523,ENSG00000077984,ENSG00000105374,2.6233480981447293e-70,0.77,1.0,31
600284,ENSG00000115523,ENSG00000100453,ENSG00000105374,ENSG00000077984,2.6233480981447293e-70,0.77,1.0,32
618798,ENSG00000115523,ENSG00000105374,ENSG00000145649,ENSG00000011600,2.6233480981447293e-70,0.77,1.0,33
1937504,ENSG00000100453,ENSG00000115523,ENSG00000105374,ENSG00000077984,2.6233480981447293e-70,0.77,1.0,34
1005735,ENSG00000145649,ENSG00000011600,ENSG00000105374,ENSG00000115523,2.6233480981447293e-70,0.77,1.0,35
619892,ENSG00000115523,ENSG00000105374,ENSG00000077984,ENSG00000100453,2.6233480981447293e-70,0.77,1.0,36
2187950,ENSG00000011600,ENSG00000115523,ENSG00000105374,ENSG00000145649,2.6233480981447293e-70,0.77,1.0,37
611117,ENSG00000115523,ENSG00000077984,ENSG00000105374,ENSG00000100453,2.6233480981447293e-70,0.77,1.0,38
618305,ENSG00000115523,ENSG00000011600,ENSG00000105374,ENSG00000145649,2.6233480981447293e-70,0.77,1.0,39
567510,ENSG00000115523,ENSG00000145649,ENSG00000011600,ENSG00000105374,2.6233480981447293e-70,0.77,1.0,40
567555,ENSG00000115523,ENSG00000145649,ENSG00000105374,ENSG00000011600,2.6233480981447293e-70,0.77,1.0,41
619622,ENSG00000115523,ENSG00000105374,ENSG00000100453,ENSG00000077984,2.6233480981447293e-70,0.77,1.0,42
1959515,ENSG00000100453,ENSG00000077984,ENSG00000105374,ENSG00000115523,2.6233480981447293e-70,0.77,1.0,43
953385,ENSG00000145649,ENSG00000115523,ENSG00000011600,ENSG00000105374,2.6233480981447293e-70,0.77,1.0,44
1963000,ENSG00000100453,ENSG00000105374,ENSG00000077984,ENSG00000115523,2.6233480981447293e-70,0.77,1.0,45
2113172,ENSG00000077984,ENSG00000115523,ENSG00000105374,ENSG00000100453,2.6233480981447293e-70,0.77,1.0,46
611127,ENSG00000115523,ENSG00000077984,ENSG00000105374,ENSG00000011600,4.634581640057982e-69,0.76,1.0,47
618329,ENSG00000115523,ENSG00000011600,ENSG00000105374,ENSG00000077984,4.634581640057982e-69,0.76,1.0,48
2196645,ENSG00000011600,ENSG00000077984,ENSG00000105374,ENSG00000115523,4.634581640057982e-69,0.76,1.0,49
2129474,ENSG00000077984,ENSG00000105374,ENSG00000011600,ENSG00000115523,4.634581640057982e-69,0.76,1.0,50
618104,ENSG00000115523,ENSG00000011600,ENSG00000077984,ENSG00000105374,4.634581640057982e-69,0.76,1.0,51
2113137,ENSG00000077984,ENSG00000115523,ENSG00000011600,ENSG00000105374,4.634581640057982e-69,0.76,1.0,52
619902,ENSG00000115523,ENSG00000105374,ENSG00000077984,ENSG00000011600,4.634581640057982e-69,0.76,1.0,53
2187974,ENSG00000011600,ENSG00000115523,ENSG00000105374,ENSG00000077984,4.634581640057982e-69,0.76,1.0,54
2113182,ENSG00000077984,ENSG00000115523,ENSG00000105374,ENSG00000011600,4.634581640057982e-69,0.76,1.0,55
620082,ENSG00000115523,ENSG00000105374,ENSG00000011600,ENSG00000077984,4.634581640057982e-69,0.76,1.0,56
598950,ENSG00000115523,ENSG00000100453,ENSG00000145649,ENSG00000077984,7.878788788094336e-68,0.75,1.0,57
567045,ENSG00000115523,ENSG00000145649,ENSG00000100453,ENSG00000077984,7.878788788094336e-68,0.75,1.0,58
998943,ENSG00000145649,ENSG00000077984,ENSG00000100453,ENSG00000115523,7.878788788094336e-68,0.75,1.0,59
1937483,ENSG00000100453,ENSG00000115523,ENSG00000105374,ENSG00000169583,7.878788788094336e-68,0.75,1.0,60
1943639,ENSG00000100453,ENSG00000169583,ENSG00000105374,ENSG00000115523,7.878788788094336e-68,0.75,1.0,61
567315,ENSG00000115523,ENSG00000145649,ENSG00000077984,ENSG00000100453,7.878788788094336e-68,0.75,1.0,62
610593,ENSG00000115523,ENSG00000077984,ENSG00000100453,ENSG00000145649,7.878788788094336e-68,0.75,1.0,63
599093,ENSG00000115523,ENSG00000100453,ENSG00000169583,ENSG00000105374,7.878788788094336e-68,0.75,1.0,64
953190,ENSG00000145649,ENSG00000115523,ENSG00000077984,ENSG00000100453,7.878788788094336e-68,0.75,1.0,65
1213729,ENSG00000169583,ENSG00000105374,ENSG00000100453,ENSG00000115523,7.878788788094336e-68,0.75,1.0,66
572528,ENSG00000115523,ENSG00000169583,ENSG00000100453,ENSG00000105374,7.878788788094336e-68,0.75,1.0,67
1165043,ENSG00000169583,ENSG00000115523,ENSG00000105374,ENSG00000100453,7.878788788094336e-68,0.75,1.0,68
619601,ENSG00000115523,ENSG00000105374,ENSG00000100453,ENSG00000169583,7.878788788094336e-68,0.75,1.0,69
989760,ENSG00000145649,ENSG00000100453,ENSG00000077984,ENSG00000115523,7.878788788094336e-68,0.75,1.0,70
1941105,ENSG00000100453,ENSG00000145649,ENSG00000077984,ENSG00000115523,7.878788788094336e-68,0.75,1.0,71
953200,ENSG00000145649,ENSG00000115523,ENSG00000077984,ENSG00000011600,1.2909092398956366e-66,0.74,1.0,72
616995,ENSG00000115523,ENSG00000011600,ENSG00000145649,ENSG00000077984,1.2909092398956366e-66,0.74,1.0,73
609932,ENSG00000115523,ENSG00000077984,ENSG00000169583,ENSG00000105374,1.2909092398956366e-66,0.74,1.0,74
619690,ENSG00000115523,ENSG00000105374,ENSG00000166710,ENSG00000145649,1.2909092398956366e-66,0.74,1.0,75
567325,ENSG00000115523,ENSG00000145649,ENSG00000077984,ENSG00000011600,1.2909092398956366e-66,0.74,1.0,76
567505,ENSG00000115523,ENSG00000145649,ENSG00000011600,ENSG00000077984,1.2909092398956366e-66,0.74,1.0,77
582115,ENSG00000115523,ENSG00000251562,ENSG00000105374,ENSG00000145649,1.2909092398956366e-66,0.74,1.0,78
619877,ENSG00000115523,ENSG00000105374,ENSG00000077984,ENSG00000169583,1.2909092398956366e-66,0.74,1.0,79
567535,ENSG00000115523,ENSG00000145649,ENSG00000105374,ENSG00000251562,1.2909092398956366e-66,0.74,1.0,80
952465,ENSG00000145649,ENSG00000115523,ENSG00000251562,ENSG00000105374,1.2909092398956366e-66,0.74,1.0,81
2007897,ENSG00000166710,ENSG00000145649,ENSG00000105374,ENSG00000115523,1.2909092398956366e-66,0.74,1.0,82
1481565,ENSG00000251562,ENSG00000145649,ENSG00000105374,ENSG00000115523,1.2909092398956366e-66,0.74,1.0,83
609793,ENSG00000115523,ENSG00000077984,ENSG00000145649,ENSG00000011600,1.2909092398956366e-66,0.74,1.0,84
1207070,ENSG00000169583,ENSG00000077984,ENSG00000105374,ENSG00000115523,1.2909092398956366e-66,0.74,1.0,85
2113157,ENSG00000077984,ENSG00000115523,ENSG00000105374,ENSG00000169583,1.2909092398956366e-66,0.74,1.0,86
1005505,ENSG00000145649,ENSG00000011600,ENSG00000077984,ENSG00000115523,1.2909092398956366e-66,0.74,1.0,87
618932,ENSG00000115523,ENSG00000105374,ENSG00000169583,ENSG00000077984,1.2909092398956366e-66,0.74,1.0,88
2004502,ENSG00000166710,ENSG00000115523,ENSG00000105374,ENSG00000145649,1.2909092398956366e-66,0.74,1.0,89
611102,ENSG00000115523,ENSG00000077984,ENSG00000105374,ENSG00000169583,1.2909092398956366e-66,0.74,1.0,90
953380,ENSG00000145649,ENSG00000115523,ENSG00000011600,ENSG00000077984,1.2909092398956366e-66,0.74,1.0,91
1214005,ENSG00000169583,ENSG00000105374,ENSG00000077984,ENSG00000115523,1.2909092398956366e-66,0.74,1.0,92
953422,ENSG00000145649,ENSG00000115523,ENSG00000105374,ENSG00000166710,1.2909092398956366e-66,0.74,1.0,93
618778,ENSG00000115523,ENSG00000105374,ENSG00000145649,ENSG00000251562,1.2909092398956366e-66,0.74,1.0,94
567547,ENSG00000115523,ENSG00000145649,ENSG00000105374,ENSG00000166710,1.2909092398956366e-66,0.74,1.0,95
572804,ENSG00000115523,ENSG00000169583,ENSG00000077984,ENSG00000105374,1.2909092398956366e-66,0.74,1.0,96
1165049,ENSG00000169583,ENSG00000115523,ENSG00000105374,ENSG00000077984,1.2909092398956366e-66,0.74,1.0,97
603877,ENSG00000115523,ENSG00000166710,ENSG00000105374,ENSG00000145649,1.2909092398956366e-66,0.74,1.0,98
580810,ENSG00000115523,ENSG00000251562,ENSG00000145649,ENSG00000105374,1.2909092398956366e-66,0.74,1.0,99
2113108,ENSG00000077984,ENSG00000115523,ENSG00000011600,ENSG00000145649,1.2909092398956366e-66,0.74,1.0,100
1006338,ENSG00000145649,ENSG00000105374,ENSG00000251562,ENSG00000115523,1.2909092398956366e-66,0.74,1.0,101
573029,ENSG00000115523,ENSG00000169583,ENSG00000105374,ENSG00000077984,1.2909092398956366e-66,0.74,1.0,102
1006890,ENSG00000145649,ENSG00000105374,ENSG00000166710,ENSG00000115523,1.2909092398956366e-66,0.74,1.0,103
619138,ENSG00000115523,ENSG00000105374,ENSG00000251562,ENSG00000145649,1.2909092398956366e-66,0.74,1.0,104
953017,ENSG00000145649,ENSG00000115523,ENSG00000166710,ENSG00000105374,1.2909092398956366e-66,0.74,1.0,105
602572,ENSG00000115523,ENSG00000166710,ENSG00000145649,ENSG00000105374,1.2909092398956366e-66,0.74,1.0,106
611053,ENSG00000115523,ENSG00000077984,ENSG00000011600,ENSG00000145649,1.2909092398956366e-66,0.74,1.0,107
2117105,ENSG00000077984,ENSG00000169583,ENSG00000105374,ENSG00000115523,1.2909092398956366e-66,0.74,1.0,108
1475410,ENSG00000251562,ENSG00000115523,ENSG00000105374,ENSG00000145649,1.2909092398956366e-66,0.74,1.0,109
993147,ENSG00000145649,ENSG00000166710,ENSG00000105374,ENSG00000115523,1.2909092398956366e-66,0.74,1.0,110
618790,ENSG00000115523,ENSG00000105374,ENSG00000145649,ENSG00000166710,1.2909092398956366e-66,0.74,1.0,111
1164824,ENSG00000169583,ENSG00000115523,ENSG00000077984,ENSG00000105374,1.2909092398956366e-66,0.74,1.0,112
1006827,ENSG00000145649,ENSG00000105374,ENSG00000100453,ENSG00000077984,2.041549057168526e-65,0.73,1.0,113
998253,ENSG00000145649,ENSG00000077984,ENSG00000169583,ENSG00000115523,2.041549057168526e-65,0.73,1.0,114
610162,ENSG00000115523,ENSG00000077984,ENSG00000251562,ENSG00000105374,2.041549057168526e-65,0.73,1.0,115
998977,ENSG00000145649,ENSG00000077984,ENSG00000100453,ENSG00000105374,2.041549057168526e-65,0.73,1.0,116
1510785,ENSG00000251562,ENSG00000077984,ENSG00000105374,ENSG00000115523,2.041549057168526e-65,0.73,1.0,117
567300,ENSG00000115523,ENSG00000145649,ENSG00000077984,ENSG00000169583,2.041549057168526e-65,0.73,1.0,118
600268,ENSG00000115523,ENSG00000100453,ENSG00000105374,ENSG00000251562,2.041549057168526e-65,0.73,1.0,119
1164795,ENSG00000169583,ENSG00000115523,ENSG00000077984,ENSG00000145649,2.041549057168526e-65,0.73,1.0,120
1503534,ENSG00000251562,ENSG00000100453,ENSG00000105374,ENSG00000115523,2.041549057168526e-65,0.73,1.0,121
611107,ENSG00000115523,ENSG00000077984,ENSG00000105374,ENSG00000251562,2.041549057168526e-65,0.73,1.0,122
990019,ENSG00000145649,ENSG00000100453,ENSG00000105374,ENSG00000077984,2.041549057168526e-65,0.73,1.0,123
609903,ENSG00000115523,ENSG00000077984,ENSG00000169583,ENSG00000145649,2.041549057168526e-65,0.73,1.0,124
989794,ENSG00000145649,ENSG00000100453,ENSG00000077984,ENSG00000105374,2.041549057168526e-65,0.73,1.0,125
619162,ENSG00000115523,ENSG00000105374,ENSG00000251562,ENSG00000077984,2.041549057168526e-65,0.73,1.0,126
619156,ENSG00000115523,ENSG00000105374,ENSG00000251562,ENSG00000100453,2.041549057168526e-65,0.73,1.0,127
1941364,ENSG00000100453,ENSG00000145649,ENSG00000105374,ENSG00000077984,2.041549057168526e-65,0.73,1.0,128
1475209,ENSG00000251562,ENSG00000115523,ENSG00000077984,ENSG00000105374,2.041549057168526e-65,0.73,1.0,129
609768,ENSG00000115523,ENSG00000077984,ENSG00000145649,ENSG00000169583,2.041549057168526e-65,0.73,1.0,130
2124355,ENSG00000077984,ENSG00000100453,ENSG00000105374,ENSG00000145649,2.041549057168526e-65,0.73,1.0,131
999472,ENSG00000145649,ENSG00000077984,ENSG00000105374,ENSG00000100453,2.041549057168526e-65,0.73,1.0,132
952230,ENSG00000145649,ENSG00000115523,ENSG00000169583,ENSG00000077984,2.041549057168526e-65,0.73,1.0,133
1959520,ENSG00000100453,ENSG00000077984,ENSG00000105374,ENSG00000145649,2.041549057168526e-65,0.73,1.0,134
953175,ENSG00000145649,ENSG00000115523,ENSG00000077984,ENSG00000169583,2.041549057168526e-65,0.73,1.0,135
2115652,ENSG00000077984,ENSG00000145649,ENSG00000105374,ENSG00000100453,2.041549057168526e-65,0.73,1.0,136
581914,ENSG00000115523,ENSG00000251562,ENSG00000077984,ENSG00000105374,2.041549057168526e-65,0.73,1.0,137
582139,ENSG00000115523,ENSG00000251562,ENSG00000105374,ENSG00000077984,2.041549057168526e-65,0.73,1.0,138
582133,ENSG00000115523,ENSG00000251562,ENSG00000105374,ENSG00000100453,2.041549057168526e-65,0.73,1.0,139
1937488,ENSG00000100453,ENSG00000115523,ENSG00000105374,ENSG00000251562,2.041549057168526e-65,0.73,1.0,140
1516570,ENSG00000251562,ENSG00000105374,ENSG00000077984,ENSG00000115523,2.041549057168526e-65,0.73,1.0,141
619606,ENSG00000115523,ENSG00000105374,ENSG00000100453,ENSG00000251562,2.041549057168526e-65,0.73,1.0,142
1172100,ENSG00000169583,ENSG00000145649,ENSG00000077984,ENSG00000115523,2.041549057168526e-65,0.73,1.0,143
1475428,ENSG00000251562,ENSG00000115523,ENSG00000105374,ENSG00000100453,2.041549057168526e-65,0.73,1.0,144
1475434,ENSG00000251562,ENSG00000115523,ENSG00000105374,ENSG00000077984,2.041549057168526e-65,0.73,1.0,145
1516294,ENSG00000251562,ENSG00000105374,ENSG00000100453,ENSG00000115523,2.041549057168526e-65,0.73,1.0,146
572775,ENSG00000115523,ENSG00000169583,ENSG00000077984,ENSG00000145649,2.041549057168526e-65,0.73,1.0,147
599323,ENSG00000115523,ENSG00000100453,ENSG00000251562,ENSG00000105374,2.041549057168526e-65,0.73,1.0,148
2119545,ENSG00000077984,ENSG00000251562,ENSG00000105374,ENSG00000115523,2.041549057168526e-65,0.73,1.0,149
965955,ENSG00000145649,ENSG00000169583,ENSG00000077984,ENSG00000115523,2.041549057168526e-65,0.73,1.0,150
581638,ENSG00000115523,ENSG00000251562,ENSG00000100453,ENSG00000105374,2.041549057168526e-65,0.73,1.0,151
598929,ENSG00000115523,ENSG00000100453,ENSG00000145649,ENSG00000169583,3.1206535588147315e-64,0.72,1.0,152
2004301,ENSG00000166710,ENSG00000115523,ENSG00000077984,ENSG00000105374,3.1206535588147315e-64,0.72,1.0,153
952899,ENSG00000145649,ENSG00000115523,ENSG00000100453,ENSG00000169583,3.1206535588147315e-64,0.72,1.0,154
2113174,ENSG00000077984,ENSG00000115523,ENSG00000105374,ENSG00000166710,3.1206535588147315e-64,0.72,1.0,155
603676,ENSG00000115523,ENSG00000166710,ENSG00000077984,ENSG00000105374,3.1206535588147315e-64,0.72,1.0,156
