,gene_1,gene_2,gene_3,gene_4,HG_stat,TP,TN,rank
36795,ENSG00000163220,ENSG00000011600,ENSG00000213402_negation,ENSG00000087086,1.3344652798718845e-76,0.8076923076923077,1.0,1
1618905,ENSG00000087086,ENSG00000011600,ENSG00000213402_negation,ENSG00000163220,1.3344652798718845e-76,0.8076923076923077,1.0,2
1505864,ENSG00000011600,ENSG00000163220,ENSG00000213402_negation,ENSG00000087086,1.3344652798718845e-76,0.8076923076923077,1.0,3
38102,ENSG00000163220,ENSG00000087086,ENSG00000011600,ENSG00000213402_negation,1.3344652798718845e-76,0.8076923076923077,1.0,4
1594538,ENSG00000087086,ENSG00000163220,ENSG00000213402_negation,ENSG00000011600,1.3344652798718845e-76,0.8076923076923077,1.0,5
1504737,ENSG00000011600,ENSG00000163220,ENSG00000087086,ENSG00000213402_negation,1.3344652798718845e-76,0.8076923076923077,1.0,6
94984,ENSG00000163220,ENSG00000213402_negation,ENSG00000087086,ENSG00000011600,1.3344652798718845e-76,0.8076923076923077,1.0,7
94935,ENSG00000163220,ENSG00000213402_negation,ENSG00000011600,ENSG00000087086,1.3344652798718845e-76,0.8076923076923077,1.0,8
39278,ENSG00000163220,ENSG00000087086,ENSG00000213402_negation,ENSG00000011600,1.3344652798718845e-76,0.8076923076923077,1.0,9
35668,ENSG00000163220,ENSG00000011600,ENSG00000087086,ENSG00000213402_negation,1.3344652798718845e-76,0.8076923076923077,1.0,10
1532714,ENSG00000011600,ENSG00000087086,ENSG00000213402_negation,ENSG00000163220,1.3344652798718845e-76,0.8076923076923077,1.0,11
159755,ENSG00000143546,ENSG00000011600,ENSG00000213402_negation,ENSG00000163220,2.649866770031322e-75,0.7980769230769231,1.0,12
94921,ENSG00000163220,ENSG00000213402_negation,ENSG00000011600,ENSG00000143546,2.649866770031322e-75,0.7980769230769231,1.0,13
1507647,ENSG00000011600,ENSG00000143546,ENSG00000213402_negation,ENSG00000163220,2.649866770031322e-75,0.7980769230769231,1.0,14
34968,ENSG00000163220,ENSG00000011600,ENSG00000143546,ENSG00000213402_negation,2.649866770031322e-75,0.7980769230769231,1.0,15
94284,ENSG00000163220,ENSG00000213402_negation,ENSG00000143546,ENSG00000011600,2.649866770031322e-75,0.7980769230769231,1.0,16
124412,ENSG00000143546,ENSG00000163220,ENSG00000011600,ENSG00000213402_negation,2.649866770031322e-75,0.7980769230769231,1.0,17
216695,ENSG00000143546,ENSG00000213402_negation,ENSG00000011600,ENSG00000163220,2.649866770031322e-75,0.7980769230769231,1.0,18
4411,ENSG00000163220,ENSG00000143546,ENSG00000213402_negation,ENSG00000011600,2.649866770031322e-75,0.7980769230769231,1.0,19
1505850,ENSG00000011600,ENSG00000163220,ENSG00000213402_negation,ENSG00000143546,2.649866770031322e-75,0.7980769230769231,1.0,20
125588,ENSG00000143546,ENSG00000163220,ENSG00000213402_negation,ENSG00000011600,2.649866770031322e-75,0.7980769230769231,1.0,21
36781,ENSG00000163220,ENSG00000011600,ENSG00000213402_negation,ENSG00000143546,2.649866770031322e-75,0.7980769230769231,1.0,22
1605011,ENSG00000087086,ENSG00000204472,ENSG00000213402_negation,ENSG00000011600,5.034746863059555e-74,0.7884615384615384,1.0,23
1618911,ENSG00000087086,ENSG00000011600,ENSG00000213402_negation,ENSG00000204472,5.034746863059555e-74,0.7884615384615384,1.0,24
738152,ENSG00000204472,ENSG00000087086,ENSG00000011600,ENSG00000213402_negation,5.034746863059555e-74,0.7884615384615384,1.0,25
1516637,ENSG00000011600,ENSG00000204472,ENSG00000213402_negation,ENSG00000087086,5.034746863059555e-74,0.7884615384615384,1.0,26
788134,ENSG00000204472,ENSG00000213402_negation,ENSG00000087086,ENSG00000011600,5.034746863059555e-74,0.7884615384615384,1.0,27
737145,ENSG00000204472,ENSG00000011600,ENSG00000213402_negation,ENSG00000087086,5.034746863059555e-74,0.7884615384615384,1.0,28
1532720,ENSG00000011600,ENSG00000087086,ENSG00000213402_negation,ENSG00000204472,5.034746863059555e-74,0.7884615384615384,1.0,29
788085,ENSG00000204472,ENSG00000213402_negation,ENSG00000011600,ENSG00000087086,5.034746863059555e-74,0.7884615384615384,1.0,30
94971,ENSG00000163220,ENSG00000213402_negation,ENSG00000087086,ENSG00000143546,9.171995372272725e-73,0.7788461538461539,1.0,31
1506535,ENSG00000011600,ENSG00000143546,ENSG00000087086,ENSG00000213402_negation,9.171995372272725e-73,0.7788461538461539,1.0,32
94285,ENSG00000163220,ENSG00000213402_negation,ENSG00000143546,ENSG00000087086,9.171995372272725e-73,0.7788461538461539,1.0,33
3285,ENSG00000163220,ENSG00000143546,ENSG00000087086,ENSG00000213402_negation,9.171995372272725e-73,0.7788461538461539,1.0,34
1572321,ENSG00000011600,ENSG00000213402_negation,ENSG00000087086,ENSG00000143546,9.171995372272725e-73,0.7788461538461539,1.0,35
158643,ENSG00000143546,ENSG00000011600,ENSG00000087086,ENSG00000213402_negation,9.171995372272725e-73,0.7788461538461539,1.0,36
1596272,ENSG00000087086,ENSG00000143546,ENSG00000213402_negation,ENSG00000163220,9.171995372272725e-73,0.7788461538461539,1.0,37
162203,ENSG00000143546,ENSG00000087086,ENSG00000213402_negation,ENSG00000011600,9.171995372272725e-73,0.7788461538461539,1.0,38
159770,ENSG00000143546,ENSG00000011600,ENSG00000213402_negation,ENSG00000087086,9.171995372272725e-73,0.7788461538461539,1.0,39
