,gene_1,gene_2,gene_3,gene_4,HG_stat,TP,TN,rank
60162,ENSG00000198851,ENSG00000196154_negation,ENSG00000051523_negation,ENSG00000227507,7.540661910864367e-31,0.38613861386138615,1.0,47
57607,ENSG00000198851,ENSG00000167286,ENSG00000111716,ENSG00000156508,7.540661910864367e-31,0.38613861386138615,1.0,48
26451,ENSG00000227507,ENSG00000196154_negation,ENSG00000198851,ENSG00000051523_negation,7.540661910864367e-31,0.38613861386138615,1.0,49
64600,ENSG00000167286,ENSG00000198851,ENSG00000111716,ENSG00000156508,7.540661910864367e-31,0.38613861386138615,1.0,50
33513,ENSG00000156508,ENSG00000111716,ENSG00000198851,ENSG00000167286,7.540661910864367e-31,0.38613861386138615,1.0,51
56187,ENSG00000198851,ENSG00000156508,ENSG00000167286,ENSG00000111716,7.540661910864367e-31,0.38613861386138615,1.0,52
32413,ENSG00000156508,ENSG00000198851,ENSG00000171223,ENSG00000227507,5.529818734632214e-30,0.37623762376237624,1.0,53
21952,ENSG00000227507,ENSG00000156508,ENSG00000051523_negation,ENSG00000198851,5.529818734632214e-30,0.37623762376237624,1.0,54
57794,ENSG00000198851,ENSG00000167286,ENSG00000051523_negation,ENSG00000196154_negation,5.529818734632214e-30,0.37623762376237624,1.0,55
56407,ENSG00000198851,ENSG00000156508,ENSG00000051523_negation,ENSG00000111716,5.529818734632214e-30,0.37623762376237624,1.0,56
30641,ENSG00000156508,ENSG00000227507,ENSG00000198851,ENSG00000171223,5.529818734632214e-30,0.37623762376237624,1.0,57
56400,ENSG00000198851,ENSG00000156508,ENSG00000051523_negation,ENSG00000227507,5.529818734632214e-30,0.37623762376237624,1.0,58
30642,ENSG00000156508,ENSG00000227507,ENSG00000198851,ENSG00000142546,5.529818734632214e-30,0.37623762376237624,1.0,59
32435,ENSG00000156508,ENSG00000198851,ENSG00000142546,ENSG00000227507,5.529818734632214e-30,0.37623762376237624,1.0,60
27643,ENSG00000227507,ENSG00000051523_negation,ENSG00000156508,ENSG00000198851,5.529818734632214e-30,0.37623762376237624,1.0,61
25586,ENSG00000227507,ENSG00000171223,ENSG00000198851,ENSG00000156508,5.529818734632214e-30,0.37623762376237624,1.0,62
21842,ENSG00000227507,ENSG00000156508,ENSG00000171223,ENSG00000198851,5.529818734632214e-30,0.37623762376237624,1.0,63
27907,ENSG00000227507,ENSG00000051523_negation,ENSG00000019582_negation,ENSG00000198851,5.529818734632214e-30,0.37623762376237624,1.0,64
58468,ENSG00000198851,ENSG00000111716,ENSG00000051523_negation,ENSG00000156508,5.529818734632214e-30,0.37623762376237624,1.0,65
56239,ENSG00000198851,ENSG00000156508,ENSG00000111716,ENSG00000051523_negation,5.529818734632214e-30,0.37623762376237624,1.0,66
30646,ENSG00000156508,ENSG00000227507,ENSG00000198851,ENSG00000051523_negation,5.529818734632214e-30,0.37623762376237624,1.0,67
55965,ENSG00000198851,ENSG00000227507,ENSG00000142546,ENSG00000156508,5.529818734632214e-30,0.37623762376237624,1.0,68
33754,ENSG00000156508,ENSG00000111716,ENSG00000051523_negation,ENSG00000198851,5.529818734632214e-30,0.37623762376237624,1.0,69
64787,ENSG00000167286,ENSG00000198851,ENSG00000051523_negation,ENSG00000196154_negation,5.529818734632214e-30,0.37623762376237624,1.0,70
21717,ENSG00000227507,ENSG00000156508,ENSG00000198851,ENSG00000142546,5.529818734632214e-30,0.37623762376237624,1.0,71
36743,ENSG00000156508,ENSG00000051523_negation,ENSG00000198851,ENSG00000111716,5.529818734632214e-30,0.37623762376237624,1.0,72
56053,ENSG00000198851,ENSG00000227507,ENSG00000051523_negation,ENSG00000156508,5.529818734632214e-30,0.37623762376237624,1.0,73
34726,ENSG00000156508,ENSG00000171223,ENSG00000198851,ENSG00000227507,5.529818734632214e-30,0.37623762376237624,1.0,74
77161,ENSG00000111716,ENSG00000156508,ENSG00000051523_negation,ENSG00000198851,5.529818734632214e-30,0.37623762376237624,1.0,75
56023,ENSG00000198851,ENSG00000227507,ENSG00000019582_negation,ENSG00000051523_negation,5.529818734632214e-30,0.37623762376237624,1.0,76
56065,ENSG00000198851,ENSG00000227507,ENSG00000051523_negation,ENSG00000019582_negation,5.529818734632214e-30,0.37623762376237624,1.0,77
55943,ENSG00000198851,ENSG00000227507,ENSG00000171223,ENSG00000156508,5.529818734632214e-30,0.37623762376237624,1.0,78
21721,ENSG00000227507,ENSG00000156508,ENSG00000198851,ENSG00000051523_negation,5.529818734632214e-30,0.37623762376237624,1.0,79
21864,ENSG00000227507,ENSG00000156508,ENSG00000142546,ENSG00000198851,5.529818734632214e-30,0.37623762376237624,1.0,80
26875,ENSG00000227507,ENSG00000019582_negation,ENSG00000198851,ENSG00000051523_negation,5.529818734632214e-30,0.37623762376237624,1.0,81
21716,ENSG00000227507,ENSG00000156508,ENSG00000198851,ENSG00000171223,5.529818734632214e-30,0.37623762376237624,1.0,82
35130,ENSG00000156508,ENSG00000142546,ENSG00000198851,ENSG00000227507,5.529818734632214e-30,0.37623762376237624,1.0,83
57731,ENSG00000198851,ENSG00000167286,ENSG00000196154_negation,ENSG00000051523_negation,5.529818734632214e-30,0.37623762376237624,1.0,84
36736,ENSG00000156508,ENSG00000051523_negation,ENSG00000198851,ENSG00000227507,5.529818734632214e-30,0.37623762376237624,1.0,85
27106,ENSG00000227507,ENSG00000019582_negation,ENSG00000051523_negation,ENSG00000198851,5.529818734632214e-30,0.37623762376237624,1.0,86
105457,ENSG00000019582_negation,ENSG00000227507,ENSG00000051523_negation,ENSG00000198851,5.529818734632214e-30,0.37623762376237624,1.0,87
32530,ENSG00000156508,ENSG00000198851,ENSG00000051523_negation,ENSG00000111716,5.529818734632214e-30,0.37623762376237624,1.0,88
