"","BestCluster","Value"
"KLF10",3,0.308035714285714
"ZBTB16",5,0.300742574257426
"MSX2",3,0.300595238095238
"CEBPD",3,0.297619047619048
"NR4A1",3,0.294642857142857
"STAT1",2,0.294392523364486
"ZNF383",4,0.2875
"ELK4",5,0.285891089108911
"DNMT1",5,0.278465346534653
"TRIB3",3,0.27827380952381
"ATF1",4,0.2675
"ING4",4,0.265
"MYBL1",3,0.257440476190476
"MEN1",2,0.253504672897196
"PGR",3,0.251488095238095
"GTF2I",1,0.25
"RB1",1,0.25
"ZNF76",4,0.24875
"XBP1",3,0.24702380952381
"MITF",3,0.230654761904762
"PAX3",1,0.222222222222222
"DDIT3",3,0.220238095238095
"ZEB2",4,0.215
"HDAC9",3,0.186011904761905
"NFYA",3,0.165178571428571
"ASH1L",2,0.164719626168224
"FOXO1",1,0.164351851851852
"RORA",2,0.127336448598131
