,0,1
0,-12.460135,-15.672211
1,-14.551219,-12.085876
2,-19.36686,-7.7029986
3,-24.64396,-9.470605
4,-16.75998,-9.958525
5,-17.362236,-2.2766209
6,-21.319735,-0.31350562
7,-15.383031,-8.309162
8,-20.221277,-11.239496
9,-18.203684,-6.216667
10,-16.82042,-0.16532154
11,-18.445772,-15.200554
12,-16.013075,-1.0180761
13,-18.775663,-15.901316
14,-17.492985,-4.7600946
15,-21.608257,-3.5247996
16,-11.146948,-16.961105
17,-11.704225,-13.199625
18,-9.486358,-15.958415
19,-13.992046,-14.915655
20,-20.326204,-4.587616
21,-18.613974,-5.5792065
22,-20.407045,-1.2395043
23,-11.765392,-12.553576
24,-14.500113,-10.366921
25,-20.876488,-14.842649
26,-17.719849,-15.162055
27,4.8951054,12.311276
28,-12.16217,-9.875916
29,-20.103304,-10.926087
30,-20.369408,-13.294324
31,-18.852674,-1.6820745
32,-14.704407,-5.9555936
33,1.074534,-4.4204206
34,-21.306114,-4.8289924
35,-18.314302,-13.646984
36,3.8678741,-2.3551712
37,-17.8245,-5.231164
38,-22.688221,-8.283446
39,-21.315256,-10.392512
40,-24.035595,-10.750415
41,-16.212023,-8.059829
42,-15.861996,-5.364055
43,-15.064248,-10.054829
44,-14.721654,-17.423862
45,5.0952625,4.0463605
46,-19.284584,-3.7528863
47,-20.970047,-3.6933677
48,-20.833765,-2.6656194
49,12.95944,4.019934
50,-18.738977,-5.025743
51,-24.5239,-7.5490537
52,-23.007664,-8.711283
53,-11.116693,-17.451563
54,-12.722487,-11.341118
55,-19.575924,-0.7895918
56,-9.177195,-16.105728
57,-13.940906,-7.7099967
58,-22.021118,-9.693224
59,-15.900278,-15.152383
60,-21.013428,-10.393167
61,-18.962187,1.3141958
62,-24.230196,-12.338964
63,-0.2209291,-17.935972
64,-16.566977,-4.991892
65,-19.327137,-13.589361
66,-20.698229,-6.5989466
67,-23.089735,-10.004938
68,-22.085264,-8.3705435
69,-14.878336,-17.386238
70,-23.524391,-6.3733163
71,-25.590576,-12.174588
72,-13.114568,-7.2516766
73,-15.639293,-9.758037
74,-25.545288,-8.186694
75,-25.722414,-12.556936
76,-20.030624,-5.4566836
77,-15.56227,-4.323308
78,-13.940843,-9.543679
79,-17.645077,-0.75134844
80,-17.812792,-9.118133
81,-20.847565,5.1132026
82,-18.067007,-7.8130174
83,-19.097633,-3.2307603
84,-15.10466,-4.0150843
85,-25.3656,-11.669035
